Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
57	25610.016944444444	18861.300555555557	0.0	0.0	59728.72972222222	0.0
58	25728.495	19357.02666666667	0.0	0.0	59806.28916666667	0.0
59	25654.98888888889	18386.735	0.0	0.0	59219.326944444445	0.0
60	25740.52972222222	18788.011944444443	0.0	0.0	59566.51666666667	0.0
61	25841.60361111111	20647.597777777777	0.0	0.0	56385.4575	0.0
62	25820.5575	20710.95	0.0	0.0	56405.64861111111	0.0
63	25887.23222222222	20499.91083333333	0.0	0.0	56808.185277777775	0.0
64	26051.9125	20765.31388888889	0.0	0.0	55954.493055555555	0.0
65	25965.898333333334	21362.363611111112	0.0	0.0	55221.261666666665	0.0
66	26157.32222222222	20061.469166666666	0.0	0.0	55119.069444444445	0.0
67	26215.110277777778	21658.84361111111	0.0	0.0	54078.38222222222	0.0
68	26361.8425	20937.136666666665	0.0	0.0	51998.59611111111	0.0
69	26456.17111111111	21600.59527777778	0.0	0.0	51623.85444444444	0.0
70	26570.905277777776	21079.805277777778	0.0	0.0	50813.50194444445	0.0
71	26651.863333333335	21482.174444444445	0.0	0.0	50259.48027777778	0.0
72	26612.901944444446	21918.94	0.0	0.0	49366.27861111111	0.0
73	26806.810555555556	21888.257777777777	0.0	0.0	48725.46472222222	0.0
74	26804.213888888888	22065.193333333333	0.0	0.0	48746.001388888886	0.0
75	26969.314444444444	22117.099166666667	0.0	0.0	47935.37333333334	0.0
76	26938.385	22282.083333333332	0.0	0.0	47492.06333333333	0.0
77	27083.625555555554	21941.4925	0.0	0.0	46870.04222222222	0.0
78	27127.9175	22050.047222222223	0.0	0.0	46431.866944444446	0.0
79	27161.948055555556	21548.79527777778	0.0	0.0	45848.55	0.0
80	27039.261388888888	21900.123055555556	0.0	0.0	45384.741944444446	0.0
81	27107.66	22795.531666666666	0.0	0.0	44914.97083333333	0.0
82	27096.114166666666	22827.098055555554	0.0	0.0	44470.7725	0.0
83	27031.055277777778	22063.44	0.0	0.0	44282.96444444444	0.0
84	27162.653055555555	23236.069166666668	0.0	0.0	44126.05527777778	0.0
85	27327.279166666667	22089.176666666666	0.0	0.0	43844.72194444444	0.0
86	27412.42777777778	22435.407222222224	0.0	0.0	43409.79888888889	0.0
87	27370.355	22410.741666666665	0.0	0.0	43575.59916666667	0.0
88	27509.55361111111	22006.435833333333	0.0	0.0	42994.06972222222	0.0
89	27390.906666666666	21332.42361111111	0.0	0.0	43076.91527777778	0.0
90	27288.931666666667	21605.016111111112	0.0	0.0	42877.72305555556	0.0
91	27416.50277777778	22020.9875	0.0	0.0	42520.800833333335	0.0
92	27372.376944444444	21644.700833333332	0.0	0.0	42408.33888888889	0.0
93	27511.13388888889	22066.653333333332	0.0	0.0	42433.32638888889	0.0
94	27400.909166666668	21517.710833333334	0.0	0.0	42577.50472222222	0.0
95	27509.47472222222	21478.648333333334	0.0	0.0	42560.01527777778	0.0
96	27381.95388888889	21069.80277777778	0.0	0.0	42472.06638888889	0.0
97	27317.955	21118.579166666666	0.0	0.0	42333.92527777778	0.0
98	27521.3825	21032.785555555554	0.0	0.0	42219.58666666667	0.0
99	27263.528611111113	20967.706666666665	0.0	0.0	42183.56638888889	0.0
100	27319.5675	20451.448888888888	0.0	0.0	41823.891388888886	0.0
101	27505.835	20663.483333333334	0.0	0.0	41963.42055555555	0.0
102	27382.335277777776	19977.8075	0.0	0.0	41855.32083333333	0.0
