Iteration	pt	walk
0	1312245.171	221999.74026002883
1	1312129.023	221897.57565144615
2	1315236.672	222657.6116570685
3	1318036.164	222900.05521225167
4	1320666.894	223773.6467161735
5	1322676.834	223815.3443633752
6	1321887.469	223462.2853743287
7	1333175.642	220213.78080641065
8	1335408.678	217895.3440748863
9	1334141.812	221493.56756902573
10	1337797.764	219777.57541785747
11	1334999.021	219932.35214672826
12	1335634.731	219910.3277882356
13	1337062.216	218833.10113430608
14	1338786.706	217027.95947226015
15	1337745.728	216060.4113414498
16	1337157.383	214812.4265082875
17	1334447.094	215088.1179549159
18	1333094.565	215914.95828822497
19	1332797.02	216268.15436601505
20	1335385.319	217931.37816118155
21	1335172.402	216815.0446676826
22	1343568.126	217616.14548781185
23	1342364.121	217318.17926449067
24	1339433.237	216560.76291292597
25	1344320.618	216354.84566745663
26	1339002.125	215732.41290007677
27	1344856.065	216682.65552341306
28	1338236.88	216044.2887613406
29	1343550.225	215255.18802555752
30	1347298.445	216297.1129178127
31	1351973.332	216161.34648033918
32	1362223.303	218661.80885072344
33	1375944.439	219364.8548247755
34	1387060.016	220428.13254670528
35	1393685.75	218970.88574535024
36	1399261.095	216575.2675497968
37	1401673.031	216568.17398065238
38	1405693.796	213335.62468583614
39	1409321.574	212568.48444059948
40	1407396.83	204644.64748941164
41	1412855.892	205776.5971304261
42	1417945.057	204845.17963601084
43	1422945.648	206449.1860771399
44	1427815.996	203563.82234853954
45	1433386.447	201876.89058072938
46	1433135.257	199195.94805983012
47	1440131.878	198361.3431502916
48	1444822.397	193085.36635389188
49	1444877.32	187515.76272263206
50	1448963.787	186626.5012174584
51	1450494.658	184152.4045527422
52	1453923.148	184682.4373247166
53	1458217.089	183790.6062938424
54	1458672.287	181639.94313015012
55	1461297.102	181638.84541635236
56	1461603.33	180891.19420597347
57	1461742.223	179112.07094836427
58	1462707.445	179344.70729861784
59	1462311.138	177583.80698589748
60	1465523.405	178625.29435993196
61	1470142.268	169082.10738904058
62	1471420.259	169142.62631022691
63	1474045.371	170350.27257361263
64	1479886.783	167789.06273655043
65	1476880.897	165589.385158905
66	1486385.619	165282.5911687095
67	1481104.432	162160.3700608765
68	1489217.79	155920.50175741586
