ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	10412.673140813544	28066.07389706385	
1	10411.756791628983	28071.38682169735	
2	10394.689311639544	28048.867454077197	
3	10391.15952345865	28054.38937201723	
4	10373.936475857085	28018.9645537964	
5	10369.051449015235	28026.986204360554	
6	10366.465562777254	28026.733288237294	
7	10344.481592413811	27997.707762715403	
8	10317.186556905368	28025.47236243607	
9	10306.179721807228	28020.706738021036	
10	10287.544182570202	28045.70213630902	
11	10315.867719838718	28034.51893145708	
12	10329.944741132887	28062.874817293592	
13	10278.891952951135	28071.246637932916	
14	10269.878248316829	28121.66434411905	
15	10251.81533438977	28092.74188997298	
16	10231.126497341893	28098.85137496061	
17	10231.331871607244	28093.992765199982	
18	10215.719338443752	28093.030863363907	
19	10229.308968699343	28096.96425323049	
20	10190.561364857818	28046.040048393344	
21	10178.034722775397	28061.439463652558	
22	10142.433841507042	27987.283293632983	
23	10121.169234881616	27979.849867741734	
24	10114.497067778619	27978.667114153825	
25	10121.571431047181	27993.830486587012	
26	10085.331529340536	27968.88777606089	
27	10099.20269385212	28009.737935928428	
28	10073.83007707187	27934.205348466905	
29	10081.59031571514	28002.87165168228	
30	10053.401988811178	27999.238839632413	
31	10014.974412151952	27879.740903977563	
32	9947.803973437396	27764.287637339003	
33	9898.608840782903	27666.357725609898	
34	9836.544783666053	27534.10729390414	
35	9791.419819827146	27530.36672369112	
36	9770.623258069727	27552.65309634485	
37	9746.97307622739	27537.043737557393	
38	9731.615579233001	27577.406058604447	
39	9678.072241028973	27519.58522385324	
40	9673.042054384938	27545.68621689937	
41	9688.813070180098	27555.01351002388	
42	9646.947631264266	27513.615742550603	
43	9635.40305772828	27517.437756702755	
44	9641.097909406253	27607.01176776232	
45	9617.10296924041	27585.850704273424	
46	9580.87035028721	27534.308700578662	
47	9595.017838258977	27615.007622517667	
48	9564.145650368717	27554.56200365921	
49	9570.16774670158	27605.13809245571	
50	9560.38279294752	27596.68146799558	
51	9546.945267271409	27573.965460566422	
52	9561.130021383338	27586.83426946553	
53	9568.140312413152	27630.89723630179	
54	9560.043304173872	27620.96924649108	
55	9567.082522456185	27641.161554443952	
56	9568.523816271942	27630.993462152906	
57	9568.109847388614	27667.96908911135	
