Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	22856.424166666668	20826.1825	0.0	0.0	74021.01055555555	0.0
1	22893.008055555554	20289.845	0.0	0.0	73987.50194444445	0.0
2	22947.431944444445	20528.308055555557	0.0	0.0	74315.63444444444	0.0
3	22968.286944444444	20165.59222222222	0.0	0.0	74274.6025	0.0
4	23054.300277777777	20432.166944444445	0.0	0.0	74634.91555555556	0.0
5	23084.907222222224	20155.344444444443	0.0	0.0	74668.30666666667	0.0
6	23065.046388888888	20217.4725	0.0	0.0	74687.12472222222	0.0
7	23341.07611111111	20767.663055555557	0.0	0.0	73204.48833333333	0.0
8	23366.613333333335	20618.724444444444	0.0	0.0	72589.97361111111	0.0
9	23678.459444444445	24137.02888888889	0.0	0.0	65674.735	0.0
10	23853.829166666666	25709.9275	0.0	0.0	64273.909166666665	0.0
11	24081.445277777777	27399.853333333333	0.0	0.0	63930.50638888889	0.0
12	24410.86138888889	28567.645	0.0	0.0	62745.179444444446	0.0
13	24895.148055555557	28662.566666666666	0.0	0.0	61540.727222222224	0.0
14	25229.179722222223	28104.95138888889	0.0	0.0	59227.59388888889	0.0
15	25526.946666666667	28408.06027777778	0.0	0.0	57168.034166666665	0.0
16	25884.68472222222	27161.226944444443	0.0	0.0	55857.460277777776	0.0
17	26240.240555555556	27079.193055555555	0.0	0.0	54241.73305555555	0.0
18	26589.90472222222	25706.765	0.0	0.0	52366.70777777778	0.0
19	26854.68388888889	25727.458055555555	0.0	0.0	51311.796944444446	0.0
20	27035.00388888889	25784.01111111111	0.0	0.0	49804.0	0.0
21	27219.501666666667	25950.713888888888	0.0	0.0	48143.80527777778	0.0
22	27184.32972222222	26131.19722222222	0.0	0.0	47659.14027777778	0.0
23	27303.125277777777	26676.320277777777	0.0	0.0	47377.115277777775	0.0
24	27262.319722222222	27749.31111111111	0.0	0.0	46792.888333333336	0.0
25	27365.781944444443	27582.676944444444	0.0	0.0	47318.095	0.0
26	27403.0325	27980.22888888889	0.0	0.0	46891.98222222222	0.0
27	27520.001666666667	28679.099166666667	0.0	0.0	46729.55138888889	0.0
28	27468.574722222223	29048.33722222222	0.0	0.0	46683.318333333336	0.0
29	27515.37416666667	29833.1925	0.0	0.0	46735.272777777776	0.0
30	27580.82888888889	30573.460277777776	0.0	0.0	46564.33888888889	0.0
31	27565.45111111111	28953.513333333332	0.0	0.0	46487.00305555556	0.0
32	27668.694166666668	31124.880555555555	0.0	0.0	46871.12666666666	0.0
33	27610.62722222222	31240.535277777777	0.0	0.0	46519.51416666667	0.0
34	27723.794166666667	30954.90388888889	0.0	0.0	46063.879166666666	0.0
35	27714.1875	30317.628333333334	0.0	0.0	46290.82777777778	0.0
36	27746.2175	30077.360277777778	0.0	0.0	45620.94972222222	0.0
37	27857.63527777778	30403.275833333333	0.0	0.0	45564.64333333333	0.0
38	27871.050555555557	33107.815	0.0	0.0	44257.88888888889	0.0
39	27953.070833333335	31969.27388888889	0.0	0.0	43874.378333333334	0.0
40	28182.051111111112	33519.72555555555	0.0	0.0	43677.71166666667	0.0
41	28132.080555555556	33152.32027777778	0.0	0.0	43660.855	0.0
42	28254.156666666666	33176.688888888886	0.0	0.0	43231.56138888889	0.0
43	28289.93138888889	31837.25277777778	0.0	0.0	42871.21916666667	0.0
44	28324.395833333332	31494.381666666668	0.0	0.0	42488.809166666666	0.0
45	28322.393055555556	31572.134166666667	0.0	0.0	42031.576944444445	0.0
46	28322.74111111111	31161.56111111111	0.0	0.0	42212.65666666667	0.0
47	28343.753055555557	31794.95527777778	0.0	0.0	41886.93361111111	0.0
48	28312.352222222224	32117.931111111113	0.0	0.0	41455.691666666666	0.0
49	28437.728055555555	32586.771944444445	0.0	0.0	41427.33472222222	0.0
50	28595.959166666667	31164.565	0.0	0.0	41410.20333333333	0.0
51	28693.335	32140.135555555556	0.0	0.0	41079.06722222222	0.0
52	28828.661666666667	32380.300277777777	0.0	0.0	40926.71361111111	0.0
53	28820.153055555555	32360.295555555556	0.0	0.0	40757.512777777774	0.0
54	28753.141111111112	31695.839444444446	0.0	0.0	40822.436111111114	0.0
55	28929.042777777777	31512.81638888889	0.0	0.0	40844.741944444446	0.0
56	28929.969722222224	29492.008611111112	0.0	0.0	40868.856944444444	0.0
57	28460.735277777778	28502.15388888889	0.0	0.0	40231.48305555555	0.0
58	28629.694722222222	27911.495	0.0	0.0	40386.794444444444	0.0
59	28483.738333333335	26656.7175	0.0	0.0	40210.2325	0.0
60	28646.62361111111	26148.388055555555	0.0	0.0	39968.748611111114	0.0
61	28529.236944444445	25597.165833333333	0.0	0.0	39547.05472222222	0.0
62	28678.667222222222	24929.013333333332	0.0	0.0	39295.55888888889	0.0
63	28590.948055555556	23750.5325	0.0	0.0	39197.603055555555	0.0
64	28732.814444444444	23418.976666666666	0.0	0.0	38884.15472222222	0.0
65	28895.024444444443	22749.885	0.0	0.0	38543.296111111114	0.0
66	28723.818333333333	22446.244444444445	0.0	0.0	38321.9475	0.0
67	28652.03638888889	22069.509166666667	0.0	0.0	38173.55222222222	0.0
68	28577.993055555555	21513.20388888889	0.0	0.0	38106.294444444444	0.0
69	28671.978055555555	21568.623888888887	0.0	0.0	37873.685	0.0
70	28646.18222222222	20969.953611111112	0.0	0.0	37101.387777777774	0.0
71	28758.277777777777	20470.385555555556	0.0	0.0	37034.90361111111	0.0
72	28674.588055555556	20143.71111111111	0.0	0.0	36594.371666666666	0.0
73	28570.77972222222	20081.269444444446	0.0	0.0	36573.080555555556	0.0
74	28537.969722222224	19703.593055555557	0.0	0.0	35915.210277777776	0.0
75	28607.626111111113	19976.95527777778	0.0	0.0	35769.53638888889	0.0
76	28649.074444444443	19608.43833333333	0.0	0.0	35458.691666666666	0.0
77	28632.68888888889	19372.63888888889	0.0	0.0	35570.32083333333	0.0
78	28604.53861111111	19194.917222222222	0.0	0.0	33088.072222222225	0.0
79	28499.0575	19825.7075	0.0	0.0	32863.01666666667	0.0
80	28579.547777777778	20015.81333333333	0.0	0.0	33020.321388888886	0.0
81	28600.4925	20244.35638888889	0.0	0.0	33265.209444444445	0.0
82	28647.984166666665	20340.240833333333	0.0	0.0	33120.54638888889	0.0
83	28654.492222222223	20118.363055555557	0.0	0.0	33118.26944444444	0.0
84	28652.864444444444	19700.874444444446	0.0	0.0	33036.95277777778	0.0
85	28725.03777777778	19795.387777777778	0.0	0.0	32643.180555555555	0.0
86	28754.34972222222	19770.096944444445	0.0	0.0	32075.547222222223	0.0
87	28686.44138888889	20064.36111111111	0.0	0.0	31225.535	0.0
88	28714.734444444446	20426.6325	0.0	0.0	30190.676944444444	0.0
89	28691.6	20792.271666666667	0.0	0.0	29771.205555555556	0.0
