ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	10412.673140813544	28066.07389706385	
1	10412.567899502443	28074.866723937208	
2	10395.944888391405	28043.205679704333	
3	10388.287058628805	28055.479461753992	
4	10371.749721125696	28018.003800146802	
5	10367.950687346041	28024.994316270582	
6	10367.468181937416	28023.783254904698	
7	10337.747854114561	28007.170091380893	
8	10333.282127975404	27986.093553773033	
9	10194.015068323266	28175.864986017303	
10	10152.861173351514	28237.42806636539	
11	10121.344986394795	28234.544266255154	
12	10073.903646416318	28360.112717236527	
13	10015.112709821064	28421.543060597396	
14	9968.513522324107	28489.961508336557	
15	9905.45273846616	28552.647907058625	
16	9874.327893131469	28635.06377187997	
17	9828.476954031228	28720.689978660783	
18	9788.400674450599	28801.448042162046	
19	9731.574659042772	28832.80615322221	
20	9695.202225329998	28909.552015714034	
21	9658.98051751525	28970.021462147724	
22	9618.582594710973	28932.039217534704	
23	9599.869068406475	28933.32315183319	
24	9578.762660072241	28910.53561603431	
25	9565.585500224299	28927.621256388615	
26	9557.069459074395	28947.690583869673	
27	9533.581719779944	28921.462389629884	
28	9513.003202109217	28949.531828039213	
29	9507.90593804988	28935.74340635921	
30	9477.134402913922	28856.130915687903	
31	9458.495379081287	28792.28588804259	
32	9415.820456372314	28700.36530287261	
33	9417.239711431328	28737.278059372664	
34	9386.33570485988	28667.814213476497	
35	9368.511336385653	28648.918256085755	
36	9360.924351450469	28673.88010471098	
37	9342.585354858898	28624.52871522365	
38	9280.69950668588	28539.845020912584	
39	9287.909582284037	28623.209111442728	
40	9252.696594852396	28544.748308473256	
41	9242.013977223472	28513.793342418514	
42	9227.46329638407	28529.065556945625	
43	9229.517535446246	28608.285245527804	
44	9228.158611018996	28646.309132216174	
45	9211.218429132177	28636.220255547476	
46	9201.681535636328	28604.866696978246	
47	9202.281773434408	28651.1659869698	
48	9186.247246348748	28612.910206698278	
49	9178.969901949022	28637.59603986461	
50	9148.735793592296	28586.419941576543	
51	9134.430266228388	28580.203195298123	
52	9073.279361606483	28466.24823955663	
53	9064.570511526128	28488.901185032246	
54	9067.575271487563	28552.629025461618	
55	9058.416432733513	28545.97567036728	
56	9028.996241941652	28470.20541127019	
57	9093.535255393708	28563.397144146595	
58	9096.908887585467	28597.300416020495	
59	9116.41909001392	28670.444751384606	
60	9124.039336397836	28704.77724130682	
61	9169.259970983501	28868.327828607726	
62	9180.36505348386	28907.006093407606	
63	9200.96728444341	28962.273409699294	
64	9221.357841327203	29019.445386319072	
65	9229.217648603491	29082.811969340382	
66	9224.445613571901	29056.63141189769	
67	9263.40532315818	29194.826050839252	
68	9283.654333692633	29208.703542528834	
69	9283.208913406746	29242.227198422002	
70	9304.445936520522	29355.595466664836	
71	9280.004525343866	29311.61767682519	
72	9303.443285740417	29376.335277495044	
73	9285.039998815464	29284.282904433036	
74	9275.35879478338	29250.032315371038	
75	9275.80608646214	29250.586158313028	
76	9269.037264891585	29224.913981987887	
77	9263.316823991383	29188.11188512635	
78	9287.208483923652	29329.699514018223	
79	9262.43593299182	29234.85052364363	
80	9271.522428508142	29246.079179976565	
81	9240.182549529973	29089.021779636318	
82	9261.841758004442	29129.56832684716	
83	9251.823580291324	29078.78681385145	
84	9243.127927591746	29014.043133917137	
85	9271.726996440477	29089.556166147227	
86	9256.67103980032	29033.460696244663	
87	9263.666485903537	28963.14705898833	
88	9239.67814760343	28855.787032399057	
89	9259.981892677024	28856.185914960293	
90	9251.272479781837	28783.81229171218	
91	9267.232288613486	28811.76048142298	
92	9293.62904076207	28858.256978790694	
93	9266.255260261602	28704.929532932238	
94	9316.550997778166	28859.14016374918	
95	9298.042525787056	28805.726171546932	
96	9310.37075371626	28821.072404556948	
97	9328.230636295779	28846.642028307713	
98	9334.58046867407	28876.193367096155	
99	9334.244043887782	28836.842873992744	
100	9312.833273807522	28807.503844125633	
101	9342.686409003158	28878.946896153113	
102	9336.011890384945	28856.815879625563	
103	9341.07868449526	28850.186956233087	
104	9317.374019429544	28841.71228588917	
105	9347.806647235684	28886.412019956897	
106	9336.032422978233	28906.04233475943	
107	9353.84759756314	28904.811698189522	
108	9356.344514300981	28925.580402781812	
109	9354.19154201731	28893.475753714894	
110	9357.964129902146	28920.255923496934	
111	9364.061519327257	28940.530853296314	
112	9356.848798946716	28911.235757565635	
113	9370.000967232056	29032.18013239052	
114	9395.092086365763	29099.282967442214	
115	9393.715030215513	29120.460678146457	
116	9390.42923929419	29097.25659928786	
117	9399.835025801287	29126.288837573036	
118	9420.855394860673	29181.13892798476	
119	9416.765046862065	29191.932620433836	
120	9438.852955708926	29261.84813335989	
121	9441.275529803363	29269.57737036194	
122	9464.84757834473	29339.018408716824	
123	9460.181546995365	29350.838490171478	
124	9462.355997514223	29339.609904043922	
125	9495.328067170538	29494.172211322213	
126	9507.22260155231	29481.281180416678	
127	9528.107409981805	29587.47897743425	
128	9508.535573892796	29557.60982765862	
129	9535.323369809132	29666.234269860415	
130	9551.740834539913	29594.55461559641	
131	9579.206481812136	29683.356064858504	
132	9543.29183535629	29627.790431288864	
133	9618.299316428052	29814.569954102164	
134	9618.295617869506	29903.523242960953	
135	9642.715747927648	29960.678877762395	
136	9687.191338104909	30126.169859935842	
137	9611.286117504707	29936.07992998622	
138	9687.623061853505	30239.71796203898	
139	9715.952637913893	30257.288492750646	
140	9740.760106570197	30343.18007013444	
141	9727.175342876806	30369.300854543722	
142	9649.05845347981	30131.947698023017	
143	9641.627954177777	30131.875942027258	
144	9706.943003412247	30316.183331325723	
145	9662.344035649186	30235.36519948439	
146	9648.817010321665	30214.96980978344	
147	9620.733837340322	30154.45798868958	
148	9613.312951310632	30172.6367718873	
149	9624.822266673666	30184.376815985892	
150	9632.181189074772	30246.417409189286	
151	9589.957026138574	30116.873655651092	
152	9597.580362127506	30151.336660950463	
153	9527.441534895233	29877.552172200023	
154	9511.511293052137	29826.46501090016	
155	9469.034931422932	29670.014737505757	
156	9479.026707548068	29724.07622683218	
157	9464.56975690216	29673.595713729515	
158	9479.100007184987	29733.32340400397	
159	9420.5384585207	29552.76976884632	
160	9431.876488156518	29609.059046632643	
161	9403.174091458934	29491.148980684597	
