Iteration	pt	walk
0	1312245.171	221999.74026002883
1	1312361.434	221899.20828798498
2	1315269.409	222883.40885172528
3	1317428.056	222760.15988642196
4	1320294.827	223840.89973147062
5	1322542.562	223940.96252453353
6	1322154.93	223997.43731323472
7	1333253.482	219548.6099229838
8	1335325.254	217705.0501419335
9	1349249.354	196958.4635331327
10	1358896.135	192755.48526213426
11	1369978.466	191724.82271073968
12	1383421.129	188168.28326281917
13	1401028.419	184554.21010615586
14	1413918.784	177614.21092017283
15	1423105.241	171434.91902732302
16	1436730.058	167502.62315759834
17	1449579.016	162654.85810841486
18	1461384.945	157029.22251365607
19	1470968.664	153863.69894707057
20	1476933.341	149339.8802768486
21	1483478.906	144358.73959735726
22	1484857.941	142904.41008552682
23	1490178.929	142058.00909394183
24	1489406.599	140304.9224593656
25	1495977.627	141880.18469039976
26	1496992.548	140601.7467429325
27	1501921.429	140114.08566973233
28	1506525.976	139975.10521785525
29	1511135.8	140130.74797893126
30	1513772.862	139617.48306675995
31	1514356.901	139385.34806932395
32	1521063.332	140537.08811555948
33	1520814.814	139482.21608418325
34	1524580.652	138114.85475887323
35	1524799.124	138795.53953600413
36	1528475.937	136785.70050127554
37	1529876.526	136616.47925830516
38	1528540.105	132695.82599726034
39	1532848.16	131545.23714529365
40	1542515.816	130954.64823478347
41	1541235.143	130903.9618710828
42	1546285.271	129615.8403525659
43	1549400.858	128534.65946165785
44	1550836.281	127387.41584129851
45	1552968.626	126015.42438849172
46	1553153.105	126558.64924119243
47	1555776.766	125581.33910596864
48	1551192.026	124287.6092615434
49	1556255.956	124202.31673911646
50	1560689.804	124150.52848374516
51	1566055.092	123156.82827307878
52	1567689.068	122699.17018472921
53	1569828.5	122191.42539299633
54	1573395.621	122386.03597251317
55	1578600.121	122452.72565372304
56	1574944.502	122524.84947750975
57	1572257.741	120612.96921459919
58	1578988.098	121078.62254751768
59	1582580.529	120548.88539639571
60	1589984.32	119824.15548360406
61	1592397.177	118559.22580560404
62	1604423.054	117804.24966851382
63	1606658.906	117510.3534318455
64	1613504.526	116569.74675843959
65	1619712.071	115546.97285512621
66	1617597.151	114882.877467388
67	1625637.554	114437.55552332038
68	1629513.084	114235.70949748236
69	1632234.713	113537.70562852768
70	1638861.808	111220.73264607649
71	1641090.258	111020.99640754364
72	1642743.726	109699.36851848864
73	1638681.882	109635.43953695393
74	1635975.809	107661.7893961438
75	1636664.056	107224.5914792236
76	1635981.202	106291.92556987205
77	1634682.254	106626.77925707151
78	1632493.621	99180.69849543172
79	1630124.532	98505.36130239323
80	1629865.033	98977.21119905153
81	1630105.96	99711.65436730329
82	1631380.792	99277.69705894752
83	1630070.87	99270.74180446939
84	1631175.947	99026.6835100384
85	1637015.307	97845.34648496218
86	1634864.302	96142.43911369462
87	1634025.271	93592.94662209033
88	1629172.676	90488.50179750306
89	1626440.516	89230.40911140962
90	1625572.528	88281.20651445976
91	1630105.848	87473.71713933127
92	1633637.13	86139.63036397674
93	1627712.723	85321.35445403814
94	1636365.412	85053.71585946804
95	1635704.456	84331.13280281771
96	1637183.446	82842.3781537993
97	1639493.24	83104.47045155618
98	1643658.109	82007.11308283432
99	1640880.149	81437.2250019943
100	1635881.475	80361.94336343698
101	1645625.456	79296.0503214313
102	1644696.324	79655.73614220522
103	1645637.229	78987.44636098712
104	1645706.161	76861.99559007213
105	1648040.019	78041.82621871243
106	1650941.968	75607.8521110525
107	1651063.421	77331.18423011561
108	1651173.301	77046.45058104467
109	1651378.033	77220.43881554299
110	1649701.494	76243.97826262833
111	1653461.362	74919.65699134392
112	1651936.051	75937.07560869267
113	1658743.659	71895.51964775726
114	1665253.665	73477.23723953524
115	1664006.643	72440.36776539418
116	1663161.758	72349.20271863091
117	1667696.965	72560.2921717695
118	1670943.193	72329.57268659415
119	1671250.81	72046.65283042949
120	1675437.013	72157.17289654847
121	1675732.831	71667.88533153251
122	1678519.984	71407.29021741818
123	1680324.385	71095.78588452996
124	1680584.486	71143.63039581428
125	1690491.466	68214.20794518903
126	1691364.83	68393.55187952428
127	1699017.185	66893.65804379407
128	1698952.857	66753.67346516676
129	1703224.761	66369.15593928462
130	1696639.575	62265.7409763488
131	1703326.301	61268.904221091965
132	1700397.319	61427.959892462604
133	1716855.708	61702.49179797334
134	1726257.443	62351.191803392096
135	1731813.722	63775.66285309924
136	1741388.885	62182.08551970642
137	1731313.961	61844.46737061491
138	1749928.95	60581.23640673613
139	1753712.736	60799.714846243915
140	1758372.386	60373.63729825073
141	1758552.0	58980.43999187039
142	1746694.238	58393.72312627855
143	1748423.008	57550.324097036435
144	1759588.847	58094.47204696039
145	1756477.924	56834.85648220797
146	1754316.653	56737.35338634234
147	1749919.519	56305.91382378081
148	1752682.127	55783.918713504085
149	1753396.738	54934.11910717844
150	1755533.921	55036.80929157077
151	1750119.546	54134.96889770807
152	1752847.092	54166.14342063963
153	1722673.074	44886.461878366375
154	1720059.959	45561.88232926575
155	1715092.978	46062.29793028046
156	1721090.851	46216.804462090055
157	1719219.269	46216.39232471465
158	1725552.268	47428.076443884376
159	1715176.889	49374.74912705081
160	1721109.717	48461.22220197046
161	1717893.58	49809.117453362516
162	1721760.628	49219.267525003066
163	1719514.236	47716.98538022074
164	1724980.008	47252.41256801053
165	1717633.295	47156.480137918916
166	1720613.383	46047.3180222544
167	1722741.792	44758.038920989464
168	1708797.606	40707.79858078937
169	1707931.56	41036.83887753706
170	1706290.394	42095.286232580016
171	1705088.762	43792.75954677205
172	1711294.477	46374.100064513026
173	1712867.721	46495.18596928756
174	1714782.683	47103.52664042864
175	1714382.304	47864.63243199976
176	1715621.053	48117.23882130447
177	1716495.719	48184.07124834536
178	1715572.103	48163.37541898385
179	1716201.746	43850.3972587018
180	1718294.41	44139.371856962076
181	1718919.581	42988.33363525973
182	1718826.424	43247.5186667237
183	1714281.473	42314.858611419375
184	1713109.049	40977.700115924716
185	1716651.219	42666.0463098592
186	1712300.48	42647.2926939534
187	1707744.871	41465.72089801642
188	1700658.675	32332.160218346206
189	1702403.953	31220.5522694107
190	1698282.138	30455.724790511737
191	1703724.019	29853.79657723086
192	1701262.891	30608.2761301955
193	1700123.031	29343.571312365835
194	1707238.606	28969.505269167264
195	1706339.35	27166.548192177906
196	1715330.614	25907.043477084284
197	1713489.26	25251.819095024366
198	1709625.452	23327.54806169968
199	1721094.155	23345.19628405711
200	1722131.029	21051.061314064795
201	1734571.197	18459.42552020071
202	1740298.466	16435.148081171184
203	1741318.192	14258.272004133172
204	1737049.272	12449.45291711514
205	1745365.552	11023.61903745704
206	1741027.297	10151.527510949514
207	1745272.497	8960.990000330334
208	1742509.004	8190.429826121129
209	1747102.072	7610.198036911159
210	1744580.952	6928.813121374418
211	1744463.098	6441.030309569101
212	1746151.948	6009.397096542872
213	1743444.975	5622.323530150431
214	1746150.875	4996.509941973354
215	1744258.555	4472.418370158503
216	1748343.928	4326.847456083222
217	1744564.998	4145.811231553662
218	1743923.037	3990.4963822471536
219	1743515.89	3899.6545792253487
220	1742334.552	3661.3889188756175
221	1741681.234	3747.8169084800375
222	1740150.36	3880.8243626502085
223	1741966.498	3550.2870685753496
224	1740874.548	3581.651696755055
225	1741397.617	3814.873768852807
226	1742618.226	3544.5683578997846
227	1742482.172	3656.908684685191
228	1742881.797	3728.0546484320307
229	1746364.334	3609.0476291980276
230	1747630.647	3275.951633680599
231	1747410.519	3445.0871165784392
232	1745150.298	3460.5567520759087
233	1749923.303	3343.2106224353424
234	1752265.816	3451.58120320774
235	1753270.286	3494.5636189429547
236	1751205.28	3384.2419378676304
237	1761419.585	3474.602955790069
238	1753861.94	3313.597326668015
239	1758282.958	3373.7433062858267
240	1756196.787	3089.3217126755667
241	1760002.269	3292.9400071400632
242	1755466.354	3137.5011712634046
243	1763102.559	3155.29885064522
244	1751848.811	3224.768330367168
245	1757769.85	3191.491831313351
246	1759029.335	3237.71745511427
247	1758100.938	3141.419817474963
248	1759316.236	3126.2220933370377
249	1761659.39	3257.0718400813257
250	1760924.251	2928.2298070182424
251	1762962.63	2784.3250462612555
252	1765880.899	2845.4538708678388
253	1781889.666	2714.9189643405516
254	1773049.259	2669.2639157541976
255	1768166.398	2624.6077918778456
256	1772112.678	2585.7401413098287
257	1769256.786	2733.4690440086442
258	1775561.804	2765.9011658331237
259	1775444.078	2751.530875302181
260	1785040.305	2725.1892624333414
261	1777087.551	2800.410553146718
262	1783424.626	2656.066129836125
263	1781510.618	2770.586477025638
264	1786677.073	2583.253361699904
265	1781985.669	2449.3320773852033
266	1787892.318	2775.2715454712006
267	1790460.032	2565.6498932490163
268	1787531.787	2656.637951219767
269	1789211.277	2668.0948533406417
270	1787881.172	2612.1685659316686
271	1791383.053	2527.4597610101814
272	1787952.621	2659.3158214918235
273	1785706.773	2633.0596099750114
274	1786237.726	2625.1170644372214
275	1790887.085	2423.902180338927
276	1792106.878	2512.034654071936
277	1789478.365	2604.6458070973495
278	1791522.648	2818.3207525656053
279	1792771.446	2633.358381479935
280	1794971.034	2712.754623471451
281	1790941.706	2821.3947032553388
282	1793857.566	2747.6527681309453
283	1795242.024	2843.1099364721626
284	1797472.583	2804.3712979141173
285	1800441.159	2779.2997955942906
286	1798341.35	2732.6567063001035
287	1793600.658	2779.9300429583773
288	1800527.053	2760.020529747459
289	1795009.157	2700.462250673461
290	1791899.246	2627.798134154244
291	1796959.456	2835.6904159641954
292	1794296.708	2757.070904164922
293	1791476.548	2777.2729600018906
294	1789677.912	2762.179010714816
295	1788077.676	2848.3320194079274
296	1783897.23	2885.5120324454897
297	1790685.747	2671.7859263639616
298	1792604.028	2729.325705628013
299	1792096.28	2732.4629406742174
300	1790452.248	2826.9364226301177
301	1788060.955	2845.0757722471467
302	1788242.497	2871.131211633515
303	1787639.537	2830.62562933522
304	1785859.905	2832.793472730172
305	1785477.594	2796.710435052288
306	1789273.008	2816.982021820301
307	1784686.243	2886.727519265928
308	1784962.09	2894.148669312665
309	1792805.778	2802.975227498536
310	1790786.531	2908.8966114606765
311	1788638.255	2748.412472878891
312	1784399.062	2884.380506913299
313	1788779.279	2840.507151121238
314	1792887.831	2887.9088875444304
315	1788044.878	2825.9471636874255
316	1791956.197	2808.886275666951
317	1789732.131	2799.8102047619454
318	1791287.548	2867.985047542208
319	1791911.763	2940.7961945228694
320	1785600.321	2853.1765701912163
321	1792477.248	2845.8238872962766
322	1782661.421	2754.8353913681017
323	1793223.434	2817.133084577438
324	1789906.612	2746.2081510322914
325	1783551.417	2793.223296880797
326	1788114.112	2787.422720134219
327	1786392.165	2751.202544113925
328	1786138.121	2974.968041790911
329	1787444.133	2891.163998296519
330	1785506.738	2817.272756454958
331	1790879.293	3094.380253677966
332	1790939.322	3020.7372541122036
333	1789928.023	2751.615379185166
334	1791584.216	2812.858532804524
335	1793574.259	2897.4429674877856
336	1789472.803	2877.6354153973048
337	1788338.933	2962.2561172928213
338	1788599.677	2770.7729608774057
339	1788347.242	2770.9576966088057
340	1783599.867	2911.8487024668298
341	1781483.874	2848.329745347247
342	1781720.866	2804.3347465916413
343	1790238.239	2815.333070746043
344	1780756.64	2849.6319833416064
345	1787733.314	2832.4974689076494
346	1783943.568	2936.9460027274013
347	1786656.19	2850.377075363105
348	1787518.494	2994.7556082263804
349	1783216.162	2904.9826726624024
350	1784768.299	2694.8212060765804
351	1781343.207	3297.681713448224
352	1784191.0	3297.597143477194
353	1785240.34	3297.5980627160097
354	1784479.462	3297.6780364929614
355	1782523.38	3297.544746864708
356	1782380.669	3297.5916280443003
357	1787474.534	3297.6568940002044
358	1782084.822	3297.5447468647076
359	1780856.327	3297.5493430587853
360	1787853.875	3297.5456661035237
361	1790055.021	3297.6559747613883
362	1783696.75	3297.596224238378
363	1787436.181	3297.618285969951
364	1788422.342	3297.6054166265335
365	1785894.261	3297.6247206416606
366	1786269.016	3297.6449438956015
367	1789933.337	3297.6256398804753
368	1785336.246	3297.598981954825
369	1783954.719	3297.5953049995624
370	1787231.047	3297.6486208508645
371	1785549.612	3297.5530200140474
372	1784264.44	3297.5916280443003
373	1786539.158	3297.6173667311355
374	1785402.924	3297.5622124022034
375	1786618.627	3297.663328671913
376	1783148.366	3297.514411983795
377	1784668.194	3297.698259746904
378	1784573.123	3297.5282005660283
379	1784332.66	3297.6238014028445
380	1789620.219	3297.65781323902
381	1782816.545	3297.5695663127276
382	1784746.194	3297.489592535775
383	1785045.838	3297.5521007752322
384	1789301.851	3297.643105417971
385	1782753.237	3297.551181536416
386	1788967.452	3297.593466521931
387	1787575.772	3297.6072551041643
388	1789396.637	3297.6495400896797
389	1792579.325	3297.6651671495442
390	1787386.165	3297.534635237736
391	1782969.659	3297.630236074553
392	1785233.255	3297.5447468647076
393	1786616.291	3297.553939252863
394	1787481.565	3297.62472064166
395	1788912.122	3297.5989819548245
396	1789135.965	3297.6283975969222
397	1786230.808	3297.538312192999
398	1786866.335	3297.5980627160093
399	1786734.743	3297.5741625068054
400	1788574.931	3297.5741625068054
401	1786029.968	3297.5631316410186
402	1785718.273	3297.6274783581066
403	1787484.517	3297.5980627160097
404	1785546.48	3297.60817434298
405	1785759.182	3297.588870327854
406	1785516.104	3297.5953049995624
407	1790327.678	3297.6329937910004
408	1788093.099	3297.5116542673472
409	1785947.325	3297.5815164173296
410	1787616.207	3297.605416626534
411	1784780.849	3297.519927416688
412	1782202.123	3297.494188729853
413	1786000.294	3297.640347701524
414	1784035.4	3297.6090935817956
415	1779269.475	3297.529119804844
416	1786557.35	3297.6035781489018
417	1786609.073	3297.630236074554
418	1777322.954	3297.54015067063
419	1783839.454	3297.544746864708
420	1781788.375	3297.505219595639
421	1783330.529	3297.6164474923203
422	1783384.485	3297.572324029174
423	1783578.624	3297.601739671272
424	1782011.801	3297.506138834455
425	1784394.784	3297.643105417971
426	1783950.511	3297.623801402845
427	1785362.499	3297.5879510890386
428	1789847.475	3297.6100128206112
429	1786973.733	3297.550262297601
430	1781100.96	3297.5511815364166
431	1786863.478	3297.59990119364
432	1785750.502	3297.5897895666694
433	1788580.136	3297.6201244475824
434	1784804.538	3297.576000984436
435	1786555.955	3297.607255104165
436	1783557.544	3297.5576162081247
437	1786850.52	3297.5925472831154
438	1780727.264	3297.5704855515432
439	1786666.923	3297.6118512982425
440	1778592.515	3297.581516417329
441	1786526.372	3297.626559119291
442	1782068.134	3297.5254428495814
443	1785390.452	3297.5879510890377
444	1787058.082	3297.525442849581
445	1785974.09	3297.604497387718
446	1784494.134	3297.474884714726
447	1784125.217	3297.612770537058
448	1788326.207	3297.5870318502225
449	1789924.34	3297.6054166265335
450	1784890.448	3297.5364737153677
451	1787209.002	3297.5842741337765
452	1785608.711	3297.601739671272
453	1784779.819	3297.5337159989213
454	1786907.126	3297.6283975969222
455	1787885.847	3297.6320745521843
456	1782772.419	3297.595304999563
457	1783513.696	3297.6118512982425
458	1786809.11	3297.582435656145
459	1783471.591	3297.574162506805
460	1785743.564	3297.5346352377364
461	1785555.428	3297.590708805485
462	1784048.414	3297.56497011865
463	1785292.007	3297.6247206416597
464	1785233.292	3297.6081743429804
465	1787360.035	3297.558535446941
466	1784317.333	3297.5714047903584
467	1787007.645	3297.6192052087667
468	1783076.678	3297.4748847147257
469	1788006.957	3297.6293168357374
470	1781582.179	3297.4656923265707
471	1790046.605	3297.5962242383785
472	1787225.967	3297.4978656851144
473	1786320.746	3297.6329937909995
474	1788269.78	3297.5714047903584
475	1787685.874	3297.605416626534
476	1785350.094	3297.4546614607843
477	1789043.747	3297.6192052087663
478	1790326.009	3297.6283975969227
479	1787951.239	3297.6486208508645
480	1787263.228	3297.6063358653496
481	1788482.358	3297.6348322686313
482	1784537.121	3297.5888703278542
483	1789573.849	3297.64126694034
484	1785817.6	3297.539231431814
485	1785295.328	3297.6164474923203
486	1783880.599	3297.501542640377
487	1786773.352	3297.5888703278542
488	1784495.872	3297.494188729853
489	1787162.846	3297.6164474923203
490	1789075.171	3297.6522978061266
491	1787329.5	3297.558535446941
492	1784879.892	3297.626559119291
493	1789023.705	3297.6210436863976
494	1787060.391	3297.600820432456
495	1786392.903	3297.625639880476
496	1780472.6	3297.509815789717
497	1785297.479	3297.588870327854
498	1783086.808	3297.5429083870767
499	1786422.193	3297.5916280443003
500	1786793.809	3297.5190081778724
501	1782724.582	3297.6164474923203
502	1786690.916	3297.5144119837946
503	1783028.095	3297.623801402845
504	1787037.724	3297.4969464462997
505	1785738.037	3297.600820432456
506	1790128.264	3297.5769202232514
507	1793461.918	3297.647701612049
508	1786389.13	3297.4656923265707
509	1784228.573	3297.598981954825
510	1790752.38	3297.6385092238934
511	1785037.639	3297.504300356824
