x	y	total	home	work
4511935.0	5347670.0	1688	1136	552
4504581.0	5341783.5	1077	715	362
4491178.5	5342258.5	786	521	265
4496678.5	5369763.0	382	262	120
4503278.5	5350340.5	525	339	186
4484340.5	5357249.0	22114	14734	7380
4498550.0	5353614.5	999	665	334
4481427.0	5362646.0	2134	1417	717
4485942.0	5337060.0	1111	721	390
4493682.5	5351729.0	7645	5010	2635
4499590.5	5359250.5	601	383	218
4488325.5	5355454.0	2223	1473	750
4467859.0	5331594.0	27424	18279	9145
4509783.0	5356190.0	1335	890	445
4511233.5	5348363.0	1153	749	404
4489838.5	5339512.0	2735	1820	915
4505875.0	5356669.0	452	302	150
4499477.0	5362687.5	663	391	272
4497776.0	5346844.0	815	540	275
4510174.0	5342884.0	923	608	315
4475709.0	5343146.5	1844	1224	620
4503791.5	5346582.5	515	345	170
4497936.0	5365234.5	377	237	140
4495707.0	5344803.5	1331	881	450
4485864.0	5343176.0	1039	690	349
4493354.0	5352510.5	3755	2490	1265
4487083.0	5345227.5	738	488	250
4488588.0	5348786.0	1280	845	435
