# Iteration [ ]	Operators [ ]	Operators IB [ ]	Routes [ ]	Routes IB [ ]	Pax served [ ]	Pax served by IB [ ]	Veh [ ]	Veh of IB [ ]	Avg. budget per operator [$]	Avg. budget per IB operator [$]	Avg. cash flow per route [$]	Avg. cash flow per route of IB [$]	Share of IB operators [%]	Share of IB routes [%]	Share of pax served by IB [%]	Share of veh served by IB [%]	Estimated mean of IB operators [ ]	Estimated SD of IB operators [ ]	Estimated mean of IB routes [ ]	Estimated SD of IB routes [ ]	Estimated mean of pax served by IB [ ]	Estimated SD of pax served by IB [ ]	Estimated mean of IB veh [ ]	Estimated SD of IB veh [ ]	Exact mean of IB operators [ ]	Exact SD of IB operators [ ]	Exact mean of IB routes [ ]	Exact SD of IB routes [ ]	Exact mean of pax served by IB [ ]	Exact SD of pax served by IB [ ]	Exact mean of IB veh [ ]	Exact SD of IB veh [ ]
0	5	4	5	4	3864	3772	25	20	259.9735600000	444.6941527778	258.9735600000	443.6941527778	80.0000000000	80.0000000000	97.6190476190	80.0000000000	4.0000000000	NaN	4.0000000000	NaN	3772.0000000000	NaN	20.0000000000	NaN	4.0000000000	NaN	4.0000000000	NaN	3772.0000000000	NaN	20.0000000000	NaN	
1	5	4	5	4	3862	3772	25	21	503.4155688889	712.0757694444	243.4420088889	392.3816166667	80.0000000000	80.0000000000	97.6696012429	84.0000000000	4.0000000000	0.0000000000	4.0000000000	0.0000000000	3772.0000000000	0.0000000000	20.5000000000	0.7071067812	4.0000000000	0.0000000000	4.0000000000	0.0000000000	3772.0000000000	0.0000000000	20.5000000000	0.7071067812	
2	5	4	5	4	4045	3972	27	24	507.6675688889	653.4352500000	204.2520000000	316.3594805556	80.0000000000	80.0000000000	98.1953028430	88.8888888889	4.0000000000	0.0000000000	4.0000000000	0.0000000000	3838.6666666667	115.4700538379	21.6666666667	2.0816659995	4.0000000000	0.0000000000	4.0000000000	0.0000000000	3838.6666666667	115.4700538379	21.6666666667	2.0816659995	
3	5	4	5	4	4156	4097	29	27	421.7036911111	456.4048777778	114.0361222222	177.9696277778	80.0000000000	80.0000000000	98.5803657363	93.1034482759	4.0000000000	0.0000000000	4.0000000000	0.0000000000	3903.2500000000	159.9153421866	23.0000000000	3.1622776602	4.0000000000	0.0000000000	4.0000000000	0.0000000000	3903.2500000000	159.9153421866	23.0000000000	3.1622776602	
4	5	4	7	5	4313	4275	31	29	339.8008444444	397.2102722222	84.3551095238	152.6443155556	80.0000000000	71.4285714286	99.1189427313	93.5483870968	4.0000000000	0.0000000000	4.2000000000	0.4472135955	3977.6000000000	216.3776790706	24.2000000000	3.8340579025	4.0000000000	0.0000000000	4.2000000000	0.4472135955	3977.6000000000	216.3776790706	24.2000000000	3.8340579025	
5	5	4	5	4	4414	4371	32	31	181.3232422222	233.9534694444	65.5223977778	86.7431972222	80.0000000000	80.0000000000	99.0258269144	96.8750000000	4.0000000000	0.0000000000	4.1666666667	0.4082482905	4043.1666666667	251.4942676616	25.3333333333	4.4121045621	4.0000000000	0.0000000000	4.1666666667	0.4082482905	4043.1666666667	251.4942676616	25.3333333333	4.4121045621	
6	5	5	6	6	4657	4657	31	31	599.0109288889	599.0109288889	181.4064055556	181.4064055556	100.0000000000	100.0000000000	100.0000000000	100.0000000000	4.1428571429	0.3779644730	4.4285714286	0.7867957925	4130.8571428571	326.3972163747	26.1428571429	4.5617456976	4.1428571429	0.3779644730	4.4285714286	0.7867957925	4130.8571428571	326.3972163747	26.1428571429	4.5617456976	
7	6	5	6	5	5251	4824	39	34	335.9474870370	426.5985222222	86.6050462963	127.5875933333	83.3333333333	83.3333333333	91.8682155780	87.1794871795	4.2500000000	0.4629100499	4.5000000000	0.7559289460	4217.5000000000	389.0651799965	27.1250000000	5.0550540480	4.2500000000	0.4629100499	4.5000000000	0.7559289460	4217.5000000000	389.0651799965	27.1250000000	5.0550540480	
8	6	6	6	6	5418	5418	39	39	495.7880166666	495.7880166666	159.8405296296	159.8405296296	100.0000000000	100.0000000000	100.0000000000	100.0000000000	4.4444444444	0.7264831573	4.6666666667	0.8660254038	4350.8888888889	540.9099842960	28.4444444444	6.1666666667	4.4444444444	0.7264831573	4.6666666667	0.8660254038	4350.8888888889	540.9099842960	28.4444444444	6.1666666667	
9	7	7	7	7	5986	5986	47	47	328.0648269841	328.0648269841	117.2465269841	117.2465269841	100.0000000000	100.0000000000	100.0000000000	100.0000000000	4.7000000000	1.0593499055	4.9000000000	1.1005049346	4514.4000000000	726.2459332455	30.3000000000	8.2603470468	4.7000000000	1.0593499055	4.9000000000	1.1005049346	4514.4000000000	726.2459332455	30.3000000000	8.2603470468	
10	8	8	9	9	6604	6604	55	55	189.3437791667	189.3437791667	79.6996049383	79.6996049383	100.0000000000	100.0000000000	100.0000000000	100.0000000000	5.0300000000	1.2504149149	5.3100000000	1.3594544412	4723.3600000000	841.6853399209	32.7700000000	9.6573123421	5.0000000000	1.4142135624	5.2727272727	1.6180796699	4704.3636363636	933.6154746712	32.5454545455	10.8107690417	
11	9	8	10	9	6720	6543	58	53	382.9517296296	463.8248083333	93.0815333333	132.8720259259	88.8888888889	90.0000000000	97.3660714286	91.3793103448	5.3270000000	1.3926734234	5.6790000000	1.5556089970	4905.3240000000	921.2844059288	34.7930000000	10.5122811079	5.2500000000	1.6025547785	5.5833333333	1.8809249820	4857.5833333333	1036.3944017895	34.2500000000	11.8791260774	
