Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:15:23	16:15:23	16:15:24			16:15:24	16:15:24	16:15:29	16:15:29	16:15:29	16:15:29	16:15:29	16:15:57	16:15:57	16:15:57	16:15:57	16:15:57	16:15:57			16:16:02	16:16:02		00:00:00		00:00:05	00:00:05	00:00:00	00:00:27	00:00:00	00:00:00		00:00:05	00:00:38
1	16:16:03	16:16:03	16:16:03	16:16:03	16:16:03	16:16:03	16:16:03	16:16:07	16:16:07	16:16:07	16:16:07	16:16:07	16:16:29	16:16:29	16:16:29	16:16:29	16:16:29	16:16:29			16:16:32	16:16:32		00:00:00	00:00:00	00:00:03	00:00:03	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:29
2	16:16:32	16:16:32	16:16:32	16:16:32	16:16:33	16:16:33			16:16:33	16:16:33	16:16:33	16:16:33	16:16:53	16:16:53	16:16:53	16:16:53	16:16:53	16:16:53			16:16:56	16:16:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
3	16:16:56	16:16:56	16:16:56	16:16:56	16:16:56	16:16:56			16:16:56	16:16:56	16:16:56	16:16:56	16:17:17	16:17:17	16:17:17	16:17:17	16:17:17	16:17:17			16:17:20	16:17:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
4	16:17:20	16:17:20	16:17:20	16:17:20	16:17:20	16:17:20			16:17:20	16:17:20	16:17:20	16:17:20	16:17:42	16:17:42	16:17:42	16:17:42	16:17:42	16:17:42			16:17:44	16:17:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
5	16:17:44	16:17:44	16:17:44	16:17:44	16:17:44	16:17:44			16:17:44	16:17:44	16:17:45	16:17:45	16:18:12	16:18:12	16:18:12	16:18:12	16:18:12	16:18:12			16:18:15	16:18:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:27	00:00:00	00:00:00		00:00:02	00:00:30
6	16:18:15	16:18:15	16:18:15	16:18:15	16:18:15	16:18:15			16:18:15	16:18:15	16:18:15	16:18:15	16:18:36	16:18:36	16:18:37	16:18:37	16:18:37	16:18:37			16:18:39	16:18:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
7	16:18:39	16:18:39	16:18:39	16:18:39	16:18:40	16:18:40			16:18:40	16:18:40	16:18:40	16:18:40	16:19:02	16:19:02	16:19:02	16:19:02	16:19:02	16:19:02			16:19:04	16:19:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
8	16:19:04	16:19:04	16:19:04	16:19:04	16:19:05	16:19:05			16:19:05	16:19:05	16:19:05	16:19:05	16:19:26	16:19:26	16:19:26	16:19:26	16:19:26	16:19:26			16:19:28	16:19:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
9	16:19:28	16:19:28	16:19:28	16:19:28	16:19:28	16:19:28			16:19:28	16:19:28	16:19:28	16:19:28	16:19:51	16:19:51	16:19:51	16:19:51	16:19:51	16:19:51			16:19:53	16:19:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
