x	y	total	home	work
4511935.0	5347670.0	1240	795	445
4504581.0	5341783.5	799	523	276
4491178.5	5342258.5	737	477	260
4496678.5	5369763.0	416	274	142
4503278.5	5350340.5	477	303	174
4484340.5	5357249.0	22019	14639	7380
4481427.0	5362646.0	2037	1337	700
4498550.0	5353614.5	856	566	290
4485942.0	5337060.0	1085	696	389
4493682.5	5351729.0	7537	4899	2638
4499590.5	5359250.5	674	448	226
4488325.5	5355454.0	2165	1426	739
4467859.0	5331594.0	27325	18186	9139
4509783.0	5356190.0	787	524	263
4511233.5	5348363.0	792	512	280
4489838.5	5339512.0	2514	1649	865
4505875.0	5356669.0	304	195	109
4499477.0	5362687.5	737	490	247
4497776.0	5346844.0	789	514	275
4510174.0	5342884.0	441	286	155
4475709.0	5343146.5	1824	1204	620
4503791.5	5346582.5	371	235	136
4497936.0	5365234.5	388	258	130
4495707.0	5344803.5	1249	799	450
4485864.0	5343176.0	749	486	263
4493354.0	5352510.5	3593	2328	1265
4487083.0	5345227.5	596	382	214
4488588.0	5348786.0	1091	684	407
