x	y	total	home	work
4511935.0	5347670.0	1692	1137	555
4504581.0	5341783.5	1087	716	371
4491178.5	5342258.5	783	518	265
4496678.5	5369763.0	383	265	118
4503278.5	5350340.5	529	340	189
4484340.5	5357249.0	22112	14732	7380
4498550.0	5353614.5	1009	669	340
4481427.0	5362646.0	2136	1418	718
4485942.0	5337060.0	1107	717	390
4493682.5	5351729.0	7629	4996	2633
4499590.5	5359250.5	588	369	219
4488325.5	5355454.0	2222	1473	749
4467859.0	5331594.0	27424	18279	9145
4509783.0	5356190.0	1440	952	488
4511233.5	5348363.0	1235	810	425
4489838.5	5339512.0	2736	1821	915
4505875.0	5356669.0	468	315	153
4499477.0	5362687.5	646	368	278
4497776.0	5346844.0	813	538	275
4510174.0	5342884.0	946	634	312
4475709.0	5343146.5	1845	1225	620
4503791.5	5346582.5	519	350	169
4497936.0	5365234.5	380	237	143
4495707.0	5344803.5	1329	879	450
4485864.0	5343176.0	1040	691	349
4493354.0	5352510.5	3755	2490	1265
4487083.0	5345227.5	736	486	250
4488588.0	5348786.0	1277	842	435
