x	y	total	home	work
4511935.0	5347670.0	1036	671	365
4491178.5	5342258.5	636	406	230
4504581.0	5341783.5	79	37	42
4496678.5	5369763.0	211	136	75
4503278.5	5350340.5	329	190	139
4484340.5	5357249.0	21615	14307	7308
4481427.0	5362646.0	1822	1159	663
4498550.0	5353614.5	541	295	246
4485942.0	5337060.0	1009	651	358
4493682.5	5351729.0	5266	3332	1934
4499590.5	5359250.5	495	304	191
4488325.5	5355454.0	1595	987	608
4467859.0	5331594.0	26912	17875	9037
4509783.0	5356190.0	158	72	86
4511233.5	5348363.0	134	64	70
4489838.5	5339512.0	2358	1523	835
4505875.0	5356669.0	28	11	17
4499477.0	5362687.5	276	194	82
4497776.0	5346844.0	648	408	240
4510174.0	5342884.0	77	28	49
4475709.0	5343146.5	1741	1147	594
4503791.5	5346582.5	200	104	96
4497936.0	5365234.5	190	124	66
4495707.0	5344803.5	1139	725	414
4485864.0	5343176.0	558	337	221
4493354.0	5352510.5	2956	1796	1160
4487083.0	5345227.5	448	256	192
4488588.0	5348786.0	736	398	338
