x	y	total	home	work
4511935.0	5347670.0	1061	691	370
4491178.5	5342258.5	686	447	239
4504581.0	5341783.5	113	49	64
4496678.5	5369763.0	354	206	148
4503278.5	5350340.5	429	279	150
4484340.5	5357249.0	21872	14557	7315
4481427.0	5362646.0	2022	1332	690
4498550.0	5353614.5	794	527	267
4485942.0	5337060.0	1029	664	365
4493682.5	5351729.0	6388	4193	2195
4499590.5	5359250.5	601	317	284
4488325.5	5355454.0	2131	1415	716
4467859.0	5331594.0	27068	18030	9038
4509783.0	5356190.0	242	99	143
4511233.5	5348363.0	216	121	95
4489838.5	5339512.0	2557	1678	879
4505875.0	5356669.0	37	14	23
4499477.0	5362687.5	637	350	287
4497776.0	5346844.0	723	473	250
4510174.0	5342884.0	113	48	65
4475709.0	5343146.5	1764	1169	595
4497936.0	5365234.5	321	181	140
4503791.5	5346582.5	335	217	118
4495707.0	5344803.5	1216	791	425
4485864.0	5343176.0	856	560	296
4493354.0	5352510.5	3735	2470	1265
4487083.0	5345227.5	604	394	210
4488588.0	5348786.0	1130	721	409
