x	y	total	home	work
4511935.0	5347670.0	1	0	1
4504581.0	5341783.5	9	0	9
4491178.5	5342258.5	60	41	19
4496678.5	5369763.0	89	54	35
4503278.5	5350340.5	17	9	8
4484340.5	5357249.0	3898	2469	1429
4481427.0	5362646.0	367	246	121
4498550.0	5353614.5	146	95	51
4485942.0	5337060.0	57	35	22
4493682.5	5351729.0	1151	728	423
4499590.5	5359250.5	155	99	56
4488325.5	5355454.0	348	232	116
4467859.0	5331594.0	4374	2678	1696
4509783.0	5356190.0	27	10	17
4511233.5	5348363.0	14	0	14
4489838.5	5339512.0	208	154	54
4505875.0	5356669.0	52	30	22
4499477.0	5362687.5	198	125	73
4497776.0	5346844.0	103	62	41
4510174.0	5342884.0	6	0	6
4475709.0	5343146.5	169	101	68
4497936.0	5365234.5	86	55	31
4503791.5	5346582.5	1	0	1
4495707.0	5344803.5	187	120	67
4485864.0	5343176.0	68	37	31
4493354.0	5352510.5	609	356	253
4487083.0	5345227.5	93	58	35
4488588.0	5348786.0	196	118	78
