x	y	total	home	work
4511935.0	5347670.0	1274	829	445
4504581.0	5341783.5	859	577	282
4491178.5	5342258.5	752	491	261
4496678.5	5369763.0	426	285	141
4503278.5	5350340.5	487	311	176
4484340.5	5357249.0	22064	14684	7380
4481427.0	5362646.0	2067	1367	700
4498550.0	5353614.5	862	572	290
4485942.0	5337060.0	1089	700	389
4493682.5	5351729.0	7700	5061	2639
4499590.5	5359250.5	681	455	226
4488325.5	5355454.0	2193	1450	743
4467859.0	5331594.0	27365	18222	9143
4509783.0	5356190.0	808	536	272
4511233.5	5348363.0	795	512	283
4489838.5	5339512.0	2586	1705	881
4505875.0	5356669.0	316	206	110
4499477.0	5362687.5	762	507	255
4497776.0	5346844.0	800	525	275
4510174.0	5342884.0	444	290	154
4475709.0	5343146.5	1840	1220	620
4503791.5	5346582.5	401	265	136
4497936.0	5365234.5	400	265	135
4495707.0	5344803.5	1253	803	450
4485864.0	5343176.0	830	548	282
4493354.0	5352510.5	3716	2451	1265
4487083.0	5345227.5	651	424	227
4488588.0	5348786.0	1179	764	415
