x	y	total	home	work
4511935.0	5347670.0	1339	894	445
4504581.0	5341783.5	894	560	334
4491178.5	5342258.5	777	512	265
4496678.5	5369763.0	417	284	133
4503278.5	5350340.5	506	327	179
4484340.5	5357249.0	22100	14720	7380
4498550.0	5353614.5	999	658	341
4481427.0	5362646.0	2122	1411	711
4485942.0	5337060.0	1102	712	390
4493682.5	5351729.0	7691	5051	2640
4499590.5	5359250.5	682	434	248
4488325.5	5355454.0	2223	1476	747
4467859.0	5331594.0	27414	18269	9145
4509783.0	5356190.0	931	619	312
4511233.5	5348363.0	818	531	287
4489838.5	5339512.0	2727	1812	915
4505875.0	5356669.0	369	243	126
4499477.0	5362687.5	754	468	286
4497776.0	5346844.0	813	538	275
4510174.0	5342884.0	482	323	159
4475709.0	5343146.5	1845	1225	620
4497936.0	5365234.5	414	267	147
4503791.5	5346582.5	499	332	167
4495707.0	5344803.5	1267	817	450
4485864.0	5343176.0	1036	687	349
4493354.0	5352510.5	3755	2490	1265
4487083.0	5345227.5	732	482	250
4488588.0	5348786.0	1275	840	435
