x	y	total	home	work
4511935.0	5347670.0	1176	743	433
4504581.0	5341783.5	675	440	235
4491178.5	5342258.5	709	449	260
4496678.5	5369763.0	379	245	134
4503278.5	5350340.5	476	299	177
4484340.5	5357249.0	21919	14541	7378
4481427.0	5362646.0	1984	1286	698
4498550.0	5353614.5	841	552	289
4485942.0	5337060.0	1079	690	389
4493682.5	5351729.0	7269	4642	2627
4499590.5	5359250.5	657	434	223
4488325.5	5355454.0	1958	1248	710
4467859.0	5331594.0	27230	18095	9135
4509783.0	5356190.0	768	509	259
4511233.5	5348363.0	752	470	282
4489838.5	5339512.0	2435	1570	865
4505875.0	5356669.0	283	182	101
4499477.0	5362687.5	664	454	210
4497776.0	5346844.0	768	495	273
4510174.0	5342884.0	421	270	151
4475709.0	5343146.5	1815	1195	620
4503791.5	5346582.5	331	203	128
4497936.0	5365234.5	352	227	125
4495707.0	5344803.5	1231	783	448
4485864.0	5343176.0	705	447	258
4493354.0	5352510.5	3339	2121	1218
4487083.0	5345227.5	543	331	212
4488588.0	5348786.0	970	583	387
