x	y	total	home	work
4511935.0	5347670.0	1319	874	445
4504581.0	5341783.5	827	513	314
4491178.5	5342258.5	784	519	265
4496678.5	5369763.0	420	279	141
4503278.5	5350340.5	509	331	178
4484340.5	5357249.0	22092	14714	7378
4481427.0	5362646.0	2107	1405	702
4498550.0	5353614.5	918	602	316
4485942.0	5337060.0	1100	710	390
4493682.5	5351729.0	7829	5189	2640
4499590.5	5359250.5	702	467	235
4488325.5	5355454.0	2218	1476	742
4467859.0	5331594.0	27406	18261	9145
4509783.0	5356190.0	878	587	291
4511233.5	5348363.0	816	529	287
4489838.5	5339512.0	2728	1813	915
4505875.0	5356669.0	333	221	112
4499477.0	5362687.5	780	516	264
4497776.0	5346844.0	814	539	275
4510174.0	5342884.0	464	307	157
4475709.0	5343146.5	1846	1226	620
4503791.5	5346582.5	475	316	159
4497936.0	5365234.5	406	270	136
4495707.0	5344803.5	1259	809	450
4485864.0	5343176.0	1029	679	350
4493354.0	5352510.5	3755	2490	1265
4487083.0	5345227.5	741	491	250
4488588.0	5348786.0	1283	848	435
