x	y	total	home	work
4511935.0	5347670.0	1076	706	370
4491178.5	5342258.5	707	467	240
4504581.0	5341783.5	111	51	60
4496678.5	5369763.0	575	371	204
4503278.5	5350340.5	440	290	150
4484340.5	5357249.0	21910	14595	7315
4498550.0	5353614.5	785	516	269
4481427.0	5362646.0	1998	1303	695
4485942.0	5337060.0	1044	679	365
4493682.5	5351729.0	6607	4382	2225
4499590.5	5359250.5	802	512	290
4488325.5	5355454.0	2155	1435	720
4467859.0	5331594.0	27096	18056	9040
4509783.0	5356190.0	236	93	143
4511233.5	5348363.0	210	121	89
4489838.5	5339512.0	2584	1695	889
4505875.0	5356669.0	39	14	25
4499477.0	5362687.5	1037	657	380
4497776.0	5346844.0	746	496	250
4510174.0	5342884.0	112	47	65
4475709.0	5343146.5	1777	1182	595
4497936.0	5365234.5	512	327	185
4503791.5	5346582.5	373	253	120
4495707.0	5344803.5	1232	807	425
4485864.0	5343176.0	927	616	311
4493354.0	5352510.5	3753	2488	1265
4487083.0	5345227.5	648	425	223
4488588.0	5348786.0	1207	797	410
