x	y	total	home	work
4511935.0	5347670.0	1311	866	445
4504581.0	5341783.5	830	514	316
4491178.5	5342258.5	784	519	265
4496678.5	5369763.0	420	280	140
4503278.5	5350340.5	513	334	179
4484340.5	5357249.0	22091	14713	7378
4481427.0	5362646.0	2109	1405	704
4498550.0	5353614.5	930	609	321
4485942.0	5337060.0	1100	710	390
4493682.5	5351729.0	7830	5190	2640
4499590.5	5359250.5	702	467	235
4488325.5	5355454.0	2218	1475	743
4467859.0	5331594.0	27404	18259	9145
4509783.0	5356190.0	889	595	294
4511233.5	5348363.0	823	539	284
4489838.5	5339512.0	2731	1816	915
4505875.0	5356669.0	342	225	117
4499477.0	5362687.5	789	524	265
4497776.0	5346844.0	816	541	275
4510174.0	5342884.0	470	310	160
4475709.0	5343146.5	1846	1226	620
4503791.5	5346582.5	489	329	160
4497936.0	5365234.5	408	272	136
4495707.0	5344803.5	1261	811	450
4485864.0	5343176.0	1029	679	350
4493354.0	5352510.5	3755	2490	1265
4487083.0	5345227.5	739	489	250
4488588.0	5348786.0	1280	845	435
