x	y	total	home	work
4511935.0	5347670.0	1695	1140	555
4504581.0	5341783.5	1083	719	364
4491178.5	5342258.5	785	520	265
4496678.5	5369763.0	376	258	118
4503278.5	5350340.5	525	338	187
4484340.5	5357249.0	22112	14732	7380
4481427.0	5362646.0	2133	1414	719
4498550.0	5353614.5	1003	666	337
4485942.0	5337060.0	1111	721	390
4493682.5	5351729.0	7626	4992	2634
4499590.5	5359250.5	613	393	220
4488325.5	5355454.0	2222	1473	749
4467859.0	5331594.0	27423	18278	9145
4509783.0	5356190.0	1407	926	481
4511233.5	5348363.0	1227	810	417
4489838.5	5339512.0	2737	1822	915
4505875.0	5356669.0	457	307	150
4499477.0	5362687.5	658	385	273
4497776.0	5346844.0	812	537	275
4510174.0	5342884.0	938	621	317
4475709.0	5343146.5	1844	1224	620
4503791.5	5346582.5	517	348	169
4497936.0	5365234.5	375	234	141
4495707.0	5344803.5	1330	880	450
4485864.0	5343176.0	1036	686	350
4493354.0	5352510.5	3755	2490	1265
4487083.0	5345227.5	734	484	250
4488588.0	5348786.0	1279	844	435
