x	y	total	home	work
4511935.0	5347670.0	1258	813	445
4504581.0	5341783.5	845	563	282
4491178.5	5342258.5	744	484	260
4496678.5	5369763.0	421	279	142
4503278.5	5350340.5	480	304	176
4484340.5	5357249.0	22030	14650	7380
4481427.0	5362646.0	2051	1351	700
4498550.0	5353614.5	857	567	290
4485942.0	5337060.0	1089	700	389
4493682.5	5351729.0	7610	4971	2639
4499590.5	5359250.5	673	448	225
4488325.5	5355454.0	2167	1427	740
4467859.0	5331594.0	27323	18186	9137
4509783.0	5356190.0	790	522	268
4511233.5	5348363.0	797	513	284
4489838.5	5339512.0	2538	1673	865
4505875.0	5356669.0	313	201	112
4499477.0	5362687.5	744	493	251
4497776.0	5346844.0	791	516	275
4510174.0	5342884.0	441	287	154
4475709.0	5343146.5	1827	1207	620
4503791.5	5346582.5	388	251	137
4497936.0	5365234.5	392	260	132
4495707.0	5344803.5	1253	803	450
4485864.0	5343176.0	765	500	265
4493354.0	5352510.5	3644	2379	1265
4487083.0	5345227.5	605	391	214
4488588.0	5348786.0	1139	731	408
