x	y	total	home	work
4511935.0	5347670.0	1103	683	420
4504581.0	5341783.5	445	291	154
4491178.5	5342258.5	700	441	259
4496678.5	5369763.0	298	191	107
4503278.5	5350340.5	370	201	169
4484340.5	5357249.0	21822	14446	7376
4481427.0	5362646.0	1922	1230	692
4498550.0	5353614.5	670	395	275
4485942.0	5337060.0	1073	684	389
4493682.5	5351729.0	6734	4191	2543
4499590.5	5359250.5	612	399	213
4488325.5	5355454.0	1652	1005	647
4467859.0	5331594.0	27162	18028	9134
4509783.0	5356190.0	750	495	255
4511233.5	5348363.0	693	417	276
4489838.5	5339512.0	2428	1564	864
4505875.0	5356669.0	215	144	71
4499477.0	5362687.5	443	299	144
4497776.0	5346844.0	712	442	270
4510174.0	5342884.0	385	243	142
4475709.0	5343146.5	1801	1182	619
4503791.5	5346582.5	236	126	110
4497936.0	5365234.5	233	140	93
4495707.0	5344803.5	1196	754	442
4485864.0	5343176.0	683	434	249
4493354.0	5352510.5	2653	1494	1159
4487083.0	5345227.5	579	367	212
4488588.0	5348786.0	1031	659	372
