Iteration	pt	walk
0	1312245.171	221999.74026002883
1	1312463.147	222051.08486521852
2	1315115.687	222838.82628074562
3	1317445.663	222878.84460637302
4	1320080.073	223785.87041705396
5	1324143.557	223887.26413483848
6	1325646.72	224035.98104736782
7	1329977.304	225741.70286280915
8	1333704.267	224300.93431317492
9	1338711.687	220331.19107462346
10	1341322.933	219120.01597556655
11	1360511.201	206098.22945687838
12	1373788.283	197499.47245237883
13	1385479.193	190874.22609256153
14	1394318.119	188098.98637591512
15	1398362.095	185150.98335103499
16	1403974.575	183825.38668469436
17	1414492.113	183433.77367130888
18	1417612.672	182672.17852627186
19	1421762.036	182559.67375065628
20	1424252.852	182311.82382909278
21	1441614.817	182410.04952940607
22	1445907.113	181097.00302036916
23	1452395.716	182001.41681463987
24	1458950.816	182785.2813905922
25	1459819.229	182678.7061765501
26	1461146.915	184180.61127856973
27	1464774.191	184237.36081545008
28	1468604.135	184641.49773342515
29	1472951.417	183466.34465190832
30	1474200.531	182917.98072079362
31	1480392.166	182576.48846772223
32	1488266.517	178788.31652842404
33	1489795.06	180274.69389016356
34	1489190.573	180905.41345685587
35	1502660.212	175180.64057869025
36	1506551.728	174178.64406679195
37	1512385.23	171976.5495960673
38	1515918.134	170245.86919911584
39	1539205.356	166845.56925322258
40	1526813.986	157275.1919891326
41	1544493.071	155827.25286246638
42	1562083.556	157817.54802538457
43	1567959.884	152003.152875476
44	1547345.923	138740.38214185697
45	1548736.861	137749.79138951536
46	1572317.291	139394.81277550588
47	1553297.633	133534.43751799187
48	1567379.46	135414.49950850866
49	1581180.054	136403.23611824523
50	1584679.694	133124.88539988684
51	1568732.062	125217.47642345965
52	1571091.001	123740.48687852481
53	1581157.8	124298.9624112296
54	1585796.501	124164.27609408625
55	1587760.492	122521.33716427194
56	1589095.065	123252.15374986819
57	1595897.654	120722.55706111535
58	1596801.305	117658.03477245936
59	1581803.799	108683.14685436385
60	1589330.891	108585.66599476978
61	1592977.537	109314.17286646234
62	1598091.99	109218.31310507451
63	1606716.929	108674.21417254323
64	1609275.434	107530.9200905532
65	1616211.357	105464.5022053138
66	1617600.0	100481.716716836
67	1629130.296	99341.08521291205
68	1610889.957	97352.89765071336
69	1623110.022	93275.57547515159
70	1613362.006	92004.16798996033
71	1628694.283	90429.09978358286
72	1617261.369	88892.31487823527
73	1627660.896	85715.53770702261
74	1615889.329	83901.20418984871
75	1623699.281	82896.50952663877
76	1609356.615	81503.84760371817
77	1616107.105	77604.55514300823
78	1603653.487	74078.0605418664
79	1604102.397	74830.83493624674
80	1601127.763	73306.92514741862
81	1609505.23	72838.31879295968
82	1601266.218	71614.52604186776
83	1609828.746	67300.46031232167
84	1600003.819	65850.26655226029
85	1610640.527	63262.93911580967
86	1603691.072	61140.05218755591
87	1614229.32	59422.63666129793
88	1607429.839	56757.890555606544
89	1621815.897	56295.650624987145
90	1616914.86	55509.02891383958
91	1619548.933	54826.15515847453
92	1617567.578	53008.8944270923
93	1628496.904	52759.176339701335
94	1629391.988	51763.70240767609
95	1625898.799	51687.622324033975
96	1626959.638	51466.349378841354
97	1620395.656	51025.11430239435
98	1620107.08	50833.01034959402
99	1619829.828	50825.05975289948
100	1615483.786	50814.26578070666
101	1621319.01	50640.88214871807
102	1620253.107	50142.657747392106
103	1617977.649	48779.03192543703
104	1620356.247	49155.04510885795
105	1625783.635	48894.64530151273
106	1632145.324	48077.213555979404
107	1632221.006	48079.37166857286
108	1634408.728	47538.18397733329
109	1634860.577	47271.091779666975
110	1632787.093	46560.46376977191
111	1636181.645	46321.07375118257
112	1637243.368	45712.12719760233
113	1630906.199	45559.12441443716
114	1632227.655	45300.645371013816
115	1634564.751	45215.55460541944
116	1631689.286	44979.78336825034
117	1629460.042	44589.198984412295
118	1621988.86	45754.12433114648
119	1630487.737	44289.03453437722
120	1633924.343	44230.36882543602
121	1635997.0	44111.399123591465
122	1636603.091	44185.732057717374
123	1641347.327	44334.91565198531
124	1645173.668	44170.0742394802
125	1641142.464	44049.534747731625
126	1645573.109	43934.66361455035
127	1641996.433	43831.72620635246
128	1651914.405	43756.97848982337
129	1649166.161	44044.337170035324
130	1654641.153	44093.56780271624
131	1650259.438	43987.71621570293
132	1658016.424	43950.490231685384
133	1654882.533	44005.440397320686
134	1659660.035	43925.53555286409
135	1657801.437	43790.60503277474
136	1664530.744	44225.28614865716
137	1664289.193	44036.66246952353
