Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	22856.424166666668	20826.1825	0.0	0.0	74021.01055555555	0.0
1	22884.503333333334	20286.055	0.0	0.0	74038.12583333334	0.0
2	22935.4825	20547.459166666667	0.0	0.0	74300.77277777778	0.0
3	22965.438611111113	20179.7425	0.0	0.0	74314.15972222222	0.0
4	23046.659444444445	20409.60388888889	0.0	0.0	74616.56361111111	0.0
5	23014.241666666665	19979.178888888888	0.0	0.0	74650.41055555556	0.0
6	22966.29138888889	19931.50888888889	0.0	0.0	74699.98944444445	0.0
7	23086.743611111113	20421.111666666668	0.0	0.0	75268.62666666666	0.0
8	23197.508333333335	20667.5375	0.0	0.0	74788.50833333333	0.0
9	23275.3025	21271.96861111111	0.0	0.0	73465.56833333333	0.0
10	23341.258055555554	20782.79472222222	0.0	0.0	73061.86833333333	0.0
11	23829.35138888889	22254.016944444444	0.0	0.0	68721.47472222222	0.0
12	24134.4525	22497.708055555555	0.0	0.0	65855.53027777778	0.0
13	24413.81638888889	22874.110833333332	0.0	0.0	63647.28944444445	0.0
14	24615.367777777778	23392.964722222223	0.0	0.0	62722.37694444445	0.0
15	24738.600833333334	23307.750555555554	0.0	0.0	61739.81694444444	0.0
16	24884.437777777777	23651.275555555556	0.0	0.0	61298.020833333336	0.0
17	24979.867222222223	25434.457222222223	0.0	0.0	61167.63361111111	0.0
18	25017.882777777777	25501.885555555556	0.0	0.0	60913.84	0.0
19	25097.938611111113	25461.883611111112	0.0	0.0	60876.39916666667	0.0
20	25122.906666666666	26338.05722222222	0.0	0.0	60793.828055555554	0.0
21	25085.380833333333	25928.846388888887	0.0	0.0	60826.64444444444	0.0
22	25094.424166666668	26852.913333333334	0.0	0.0	60389.070555555554	0.0
23	25210.2575	27207.67777777778	0.0	0.0	60690.61583333334	0.0
24	25155.369166666667	27650.159444444445	0.0	0.0	60951.96	0.0
25	25206.164166666666	27566.794166666667	0.0	0.0	60916.49444444444	0.0
26	25166.283333333333	27334.279444444444	0.0	0.0	61417.1875	0.0
27	25186.972777777777	27617.417777777777	0.0	0.0	61436.14111111111	0.0
28	25182.737222222222	27379.6775	0.0	0.0	61570.91416666667	0.0
29	25307.1375	26800.41888888889	0.0	0.0	61179.2225	0.0
30	25253.09888888889	25936.245	0.0	0.0	60996.48861111111	0.0
31	25335.71	26184.16388888889	0.0	0.0	60882.71861111111	0.0
32	25589.46222222222	28357.08722222222	0.0	0.0	59620.14333333333	0.0
33	25486.02111111111	26342.756388888887	0.0	0.0	60115.65583333333	0.0
34	25543.35027777778	25316.48972222222	0.0	0.0	60325.94	0.0
35	25709.958333333332	27181.664166666666	0.0	0.0	58417.894166666665	0.0
36	25764.10777777778	26241.481111111112	0.0	0.0	58083.897777777776	0.0
37	25815.783333333333	27146.1275	0.0	0.0	57350.03361111111	0.0
38	25972.636666666665	25189.10361111111	0.0	0.0	56773.2575	0.0
39	26268.646666666667	26998.63861111111	0.0	0.0	55640.13527777778	0.0
40	26296.989444444444	25297.6875	0.0	0.0	52449.889444444445	0.0
41	26517.62277777778	25333.256388888887	0.0	0.0	51967.436944444446	0.0
42	26748.715833333332	23598.95138888889	0.0	0.0	52631.02777777778	0.0
43	26773.178055555556	22217.18611111111	0.0	0.0	50692.99138888889	0.0
44	26371.472222222223	22400.66	0.0	0.0	46271.79111111111	0.0
45	26555.026388888888	22488.148333333334	0.0	0.0	45941.7425	0.0
46	26963.735	23196.891111111112	0.0	0.0	46490.25611111111	0.0
47	26876.026944444446	21719.02611111111	0.0	0.0	44536.78083333333	0.0
48	27115.815833333334	21530.360833333332	0.0	0.0	45163.62805555556	0.0
49	27345.605555555554	20236.035277777777	0.0	0.0	45493.3625	0.0
50	27489.924166666668	20191.59222222222	0.0	0.0	44400.629166666666	0.0
51	27202.195555555554	19128.126111111113	0.0	0.0	41764.735555555555	0.0
52	27473.76722222222	20221.637777777778	0.0	0.0	41272.49527777778	0.0
53	27475.425555555557	19782.246944444443	0.0	0.0	41458.72944444444	0.0
54	27540.591666666667	19657.0075	0.0	0.0	41413.84416666667	0.0
55	27707.12138888889	19530.079166666666	0.0	0.0	40866.26055555556	0.0
56	27672.43527777778	18955.65861111111	0.0	0.0	41109.8725	0.0
57	27806.520277777778	18130.983333333334	0.0	0.0	40266.708333333336	0.0
58	27830.270277777778	18139.9325	0.0	0.0	39245.19055555556	0.0
59	27658.2025	17267.589722222223	0.0	0.0	36253.55416666667	0.0
60	27881.754166666666	18187.98	0.0	0.0	36221.16611111111	0.0
61	27906.811388888887	17997.16888888889	0.0	0.0	36464.0325	0.0
62	28164.754444444443	18107.048055555555	0.0	0.0	36432.160833333335	0.0
63	28300.629444444443	17978.073055555556	0.0	0.0	36250.87777777778	0.0
64	28467.75611111111	17331.756666666668	0.0	0.0	35869.83416666667	0.0
65	28437.1	17359.56638888889	0.0	0.0	35181.08388888889	0.0
66	28603.41222222222	18273.731944444444	0.0	0.0	33520.295277777775	0.0
67	28745.75888888889	17094.561944444446	0.0	0.0	33140.17388888889	0.0
68	28859.340833333332	17007.282222222224	0.0	0.0	32477.5175	0.0
69	28847.759166666667	17613.0325	0.0	0.0	31118.54388888889	0.0
70	29118.404166666667	17546.511388888888	0.0	0.0	30694.830833333333	0.0
71	29095.137222222223	16128.155555555555	0.0	0.0	30169.898333333334	0.0
72	29145.465555555555	16597.882777777777	0.0	0.0	29657.765277777777	0.0
73	29247.339722222223	16871.52972222222	0.0	0.0	28598.96638888889	0.0
74	29345.59388888889	16756.493333333332	0.0	0.0	27994.246944444443	0.0
75	29450.335	16727.194166666668	0.0	0.0	27659.415	0.0
76	29443.0	16641.2375	0.0	0.0	27195.249722222223	0.0
77	29416.025	17764.80222222222	0.0	0.0	25895.479166666668	0.0
78	29374.408055555556	18948.911111111112	0.0	0.0	24719.988611111112	0.0
79	29460.143055555556	18873.055555555555	0.0	0.0	24970.980833333335	0.0
80	29568.370277777776	19339.532222222224	0.0	0.0	24463.1525	0.0
81	29772.02111111111	18967.246944444443	0.0	0.0	24307.005555555555	0.0
82	29734.101944444443	18348.03	0.0	0.0	23899.096666666668	0.0
83	29643.778611111113	18460.419166666667	0.0	0.0	22461.125555555554	0.0
84	29883.181666666667	18866.735555555555	0.0	0.0	21977.835277777776	0.0
85	29898.3025	18508.756388888887	0.0	0.0	21115.442222222224	0.0
