Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	13:09:45	13:09:45	13:09:46			13:09:46	13:09:46	13:09:50	13:09:50	13:09:50	13:09:51	13:09:51	13:10:17	13:10:17	13:10:17	13:10:17	13:10:18	13:10:18			13:10:23	13:10:23		00:00:00		00:00:04	00:00:04	00:00:00	00:00:26	00:00:00	00:00:00		00:00:05	00:00:37
1	13:10:23	13:10:23	13:10:23	13:10:23	13:10:23	13:10:23	13:10:23	13:10:26	13:10:26	13:10:26	13:10:26	13:10:26	13:10:46	13:10:46	13:10:46	13:10:46	13:10:46	13:10:46			13:10:48	13:10:48		00:00:00	00:00:00	00:00:02	00:00:02	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:25
2	13:10:49	13:10:49	13:10:49	13:10:49	13:10:49	13:10:49			13:10:49	13:10:49	13:10:49	13:10:49	13:11:09	13:11:09	13:11:09	13:11:09	13:11:09	13:11:09			13:11:11	13:11:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
3	13:11:12	13:11:12	13:11:12	13:11:12	13:11:12	13:11:12			13:11:12	13:11:12	13:11:12	13:11:12	13:11:32	13:11:32	13:11:32	13:11:32	13:11:32	13:11:32			13:11:34	13:11:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
4	13:11:34	13:11:34	13:11:34	13:11:34	13:11:35	13:11:35			13:11:35	13:11:35	13:11:35	13:11:35	13:11:54	13:11:54	13:11:54	13:11:54	13:11:54	13:11:54			13:11:57	13:11:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
5	13:11:57	13:11:57	13:11:57	13:11:57	13:11:57	13:11:57			13:11:57	13:11:57	13:11:57	13:11:57	13:12:16	13:12:16	13:12:16	13:12:16	13:12:16	13:12:16			13:12:19	13:12:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:21
6	13:12:19	13:12:19	13:12:19	13:12:19	13:12:19	13:12:19			13:12:19	13:12:19	13:12:19	13:12:19	13:12:36	13:12:36	13:12:36	13:12:36	13:12:36	13:12:36			13:12:39	13:12:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:17	00:00:00	00:00:00		00:00:02	00:00:20
7	13:12:39	13:12:39	13:12:39	13:12:39	13:12:39	13:12:39			13:12:39	13:12:39	13:12:39	13:12:39	13:12:57	13:12:57	13:12:57	13:12:57	13:12:57	13:12:57			13:13:00	13:13:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:02	00:00:20
8	13:13:00	13:13:00	13:13:00	13:13:00	13:13:00	13:13:00			13:13:00	13:13:00	13:13:00	13:13:00	13:13:19	13:13:19	13:13:19	13:13:19	13:13:19	13:13:19			13:13:21	13:13:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:21
9	13:13:21	13:13:21	13:13:21	13:13:21	13:13:22	13:13:22			13:13:22	13:13:22	13:13:22	13:13:22	13:13:43	13:13:43	13:13:43	13:13:43	13:13:43	13:13:43			13:13:45	13:13:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:23
10	13:13:46	13:13:46	13:13:46	13:13:46	13:13:46	13:13:46			13:13:46	13:13:46	13:13:46	13:13:46	13:14:05	13:14:05	13:14:05	13:14:05	13:14:06	13:14:06	13:14:06	13:14:06	13:14:09	13:14:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:00	00:00:03	00:00:23
11	13:14:10	13:14:10	13:14:10	13:14:10	13:14:10	13:14:10			13:14:10	13:14:10	13:14:10	13:14:10	13:14:30	13:14:30	13:14:30	13:14:30	13:14:30	13:14:30			13:14:32	13:14:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
12	13:14:32	13:14:32	13:14:32	13:14:32	13:14:32	13:14:32			13:14:32	13:14:32	13:14:33	13:14:33	13:14:53	13:14:53	13:14:53	13:14:53	13:14:53	13:14:53			13:14:56	13:14:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
13	13:14:56	13:14:56	13:14:56	13:14:56	13:14:56	13:14:56			13:14:56	13:14:56	13:14:56	13:14:56	13:15:16	13:15:16	13:15:16	13:15:16	13:15:16	13:15:16			13:15:18	13:15:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
14	13:15:18	13:15:18	13:15:18	13:15:18	13:15:18	13:15:18			13:15:18	13:15:18	13:15:18	13:15:18	13:15:39	13:15:39	13:15:39	13:15:39	13:15:39	13:15:39			13:15:42	13:15:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
15	13:15:42	13:15:42	13:15:42	13:15:42	13:15:42	13:15:42			13:15:42	13:15:42	13:15:42	13:15:42	13:16:02	13:16:02	13:16:02	13:16:02	13:16:02	13:16:02			13:16:04	13:16:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
16	13:16:04	13:16:04	13:16:04	13:16:04	13:16:04	13:16:04			13:16:04	13:16:04	13:16:05	13:16:05	13:16:24	13:16:24	13:16:24	13:16:24	13:16:24	13:16:24			13:16:26	13:16:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
17	13:16:26	13:16:26	13:16:27	13:16:27	13:16:27	13:16:27			13:16:27	13:16:27	13:16:27	13:16:27	13:16:47	13:16:47	13:16:47	13:16:47	13:16:48	13:16:48			13:16:50	13:16:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
18	13:16:50	13:16:50	13:16:50	13:16:50	13:16:50	13:16:50			13:16:50	13:16:50	13:16:50	13:16:50	13:17:10	13:17:10	13:17:11	13:17:11	13:17:11	13:17:11			13:17:13	13:17:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:22
19	13:17:13	13:17:13	13:17:13	13:17:13	13:17:13	13:17:13			13:17:13	13:17:13	13:17:13	13:17:13	13:17:32	13:17:32	13:17:32	13:17:32	13:17:32	13:17:32			13:17:35	13:17:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:02	00:00:21
20	13:17:35	13:17:35	13:17:35	13:17:35	13:17:35	13:17:35			13:17:35	13:17:35	13:17:35	13:17:35	13:17:55	13:17:55	13:17:55	13:17:55	13:17:55	13:17:55	13:17:55	13:17:55	13:17:59	13:17:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:00	00:00:03	00:00:23
21	13:17:59	13:17:59	13:17:59	13:17:59	13:17:59	13:17:59			13:17:59	13:17:59	13:17:59	13:17:59	13:18:20	13:18:20	13:18:20	13:18:20	13:18:20	13:18:20			13:18:22	13:18:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
22	13:18:22	13:18:22	13:18:22	13:18:22	13:18:22	13:18:22			13:18:22	13:18:22	13:18:23	13:18:23	13:18:42	13:18:42	13:18:42	13:18:42	13:18:42	13:18:42			13:18:44	13:18:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
23	13:18:44	13:18:44	13:18:44	13:18:44	13:18:45	13:18:45			13:18:45	13:18:45	13:18:45	13:18:45	13:19:05	13:19:05	13:19:05	13:19:05	13:19:05	13:19:05			13:19:08	13:19:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
