ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	10412.673140813544	28066.07389706385	
1	10412.875554671129	28071.603815328217	
2	10395.588255481822	28043.547808402098	
3	10389.556699558028	28054.28261987057	
4	10373.282067694605	28019.556354860346	
5	10381.734554357761	28063.449269172495	
6	10391.279603088315	28083.09801819653	
7	10385.792439318331	28070.919001270297	
8	10360.523752074267	28115.379300636574	
9	10318.500503498695	28092.86619014705	
10	10313.159748956206	28061.481270973603	
11	10218.173122550037	28192.758714368087	
12	10125.255375534889	28217.26952923132	
13	10089.30759787868	28310.845707972934	
14	10053.348149171668	28346.420038554963	
15	10020.522305372117	28359.93094622376	
16	10011.790947171052	28395.38245445117	
17	10004.920587245408	28570.872388814572	
18	9986.176914360538	28553.19502180753	
19	9979.545472786684	28572.240318560303	
20	9973.459038943018	28629.908809992863	
21	10047.855685114737	28868.782839546897	
22	10024.918149679435	28883.707948104155	
23	10037.81465149268	28953.45829775061	
24	10051.650629955284	28987.024194621925	
25	10032.666128189563	28960.46552815973	
26	10014.836819741879	28921.68994026127	
27	10020.000679431821	28969.57069337618	
28	10011.176170118866	28970.199037830705	
29	10020.312400347917	28998.604577443097	
30	10001.560250840734	29004.24262907155	
31	10017.521381562878	29032.21446550668	
32	9973.525459643122	29038.15508153898	
33	9958.912281092978	29003.546288534162	
34	9930.05355057413	28943.500900658477	
35	9866.808111654258	28892.757102579115	
36	9886.300319205186	28929.754035763446	
37	9861.083312917186	28946.378716921612	
38	9837.366707889669	28919.671209823417	
39	9833.826692642875	29007.817894656644	
40	9758.366765302479	28814.14255164239	
41	9760.568554287069	28870.36152441	
42	9784.340196183824	29029.91745633205	
43	9781.13131948864	29102.43820516094	
44	9755.580850542783	29036.601683069875	
45	9689.277951415452	28901.22707665651	
46	9739.083528823943	29092.173747974703	
47	9639.811587887007	28809.410710527543	
48	9649.96350086431	28865.674771113965	
49	9663.731342269386	28891.933180079533	
50	9659.270014619273	28881.962022005886	
51	9592.339141893066	28711.447519663474	
52	9572.993498068428	28653.13897975364	
53	9598.635515070799	28740.03112624723	
54	9612.083267812783	28770.7138342226	
55	9592.80394173627	28717.73222372334	
56	9598.735481492393	28710.63242063931	
57	9604.383136080743	28757.06835768523	
58	9591.649219684263	28745.0896979123	
59	9529.829616573561	28618.68817499913	
60	9528.899896707786	28662.321446878494	
61	9539.427227351754	28677.063001388422	
62	9522.831136313367	28657.27972161169	
63	9547.082504564005	28760.339551170415	
64	9541.258532751031	28769.56600942592	
65	9554.409114498674	28841.398479090043	
66	9517.772773799337	28817.831682808788	
67	9548.457809938716	28915.523253519976	
