x	y	total	home	work
4511935.0	5347670.0	1192	753	439
4504581.0	5341783.5	724	471	253
4491178.5	5342258.5	711	451	260
4496678.5	5369763.0	383	247	136
4503278.5	5350340.5	476	301	175
4484340.5	5357249.0	21935	14556	7379
4481427.0	5362646.0	1996	1296	700
4498550.0	5353614.5	842	552	290
4485942.0	5337060.0	1080	691	389
4493682.5	5351729.0	7280	4650	2630
4499590.5	5359250.5	661	438	223
4488325.5	5355454.0	2060	1326	734
4467859.0	5331594.0	27245	18110	9135
4509783.0	5356190.0	770	508	262
4511233.5	5348363.0	760	479	281
4489838.5	5339512.0	2432	1567	865
4505875.0	5356669.0	295	192	103
4499477.0	5362687.5	690	474	216
4497776.0	5346844.0	774	499	275
4510174.0	5342884.0	420	267	153
4475709.0	5343146.5	1816	1196	620
4503791.5	5346582.5	344	212	132
4497936.0	5365234.5	357	239	118
4495707.0	5344803.5	1237	789	448
4485864.0	5343176.0	720	461	259
4493354.0	5352510.5	3493	2244	1249
4487083.0	5345227.5	541	329	212
4488588.0	5348786.0	930	532	398
