x	y	total	home	work
4511935.0	5347670.0	1340	895	445
4504581.0	5341783.5	881	549	332
4491178.5	5342258.5	779	514	265
4496678.5	5369763.0	398	270	128
4503278.5	5350340.5	505	325	180
4484340.5	5357249.0	22087	14707	7380
4481427.0	5362646.0	2123	1411	712
4498550.0	5353614.5	967	634	333
4485942.0	5337060.0	1103	713	390
4493682.5	5351729.0	7749	5113	2636
4499590.5	5359250.5	623	401	222
4488325.5	5355454.0	2221	1474	747
4467859.0	5331594.0	27414	18269	9145
4509783.0	5356190.0	922	619	303
4511233.5	5348363.0	812	527	285
4489838.5	5339512.0	2725	1810	915
4505875.0	5356669.0	346	228	118
4499477.0	5362687.5	739	470	269
4497776.0	5346844.0	814	539	275
4510174.0	5342884.0	478	321	157
4475709.0	5343146.5	1846	1226	620
4503791.5	5346582.5	501	337	164
4497936.0	5365234.5	382	247	135
4495707.0	5344803.5	1262	812	450
4485864.0	5343176.0	1027	678	349
4493354.0	5352510.5	3755	2490	1265
4487083.0	5345227.5	734	484	250
4488588.0	5348786.0	1279	844	435
