x	y	total	home	work
4511935.0	5347670.0	1038	672	366
4491178.5	5342258.5	640	409	231
4504581.0	5341783.5	111	50	61
4496678.5	5369763.0	236	150	86
4503278.5	5350340.5	385	244	141
4484340.5	5357249.0	21802	14491	7311
4481427.0	5362646.0	1923	1251	672
4498550.0	5353614.5	704	455	249
4485942.0	5337060.0	1010	651	359
4493682.5	5351729.0	5622	3646	1976
4499590.5	5359250.5	566	374	192
4488325.5	5355454.0	1628	1018	610
4467859.0	5331594.0	26955	17918	9037
4509783.0	5356190.0	203	81	122
4511233.5	5348363.0	175	97	78
4489838.5	5339512.0	2354	1524	830
4505875.0	5356669.0	35	14	21
4499477.0	5362687.5	348	242	106
4497776.0	5346844.0	656	411	245
4510174.0	5342884.0	108	46	62
4475709.0	5343146.5	1742	1148	594
4503791.5	5346582.5	211	112	99
4497936.0	5365234.5	231	153	78
4495707.0	5344803.5	1176	756	420
4485864.0	5343176.0	572	347	225
4493354.0	5352510.5	3231	2082	1149
4487083.0	5345227.5	462	268	194
4488588.0	5348786.0	723	373	350
