x	y	total	home	work
4511935.0	5347670.0	1174	739	435
4504581.0	5341783.5	689	454	235
4491178.5	5342258.5	712	452	260
4496678.5	5369763.0	379	246	133
4503278.5	5350340.5	476	299	177
4484340.5	5357249.0	21921	14542	7379
4481427.0	5362646.0	1984	1285	699
4498550.0	5353614.5	838	548	290
4485942.0	5337060.0	1079	690	389
4493682.5	5351729.0	7265	4635	2630
4499590.5	5359250.5	659	437	222
4488325.5	5355454.0	2001	1278	723
4467859.0	5331594.0	27241	18103	9138
4509783.0	5356190.0	764	505	259
4511233.5	5348363.0	751	469	282
4489838.5	5339512.0	2437	1572	865
4505875.0	5356669.0	291	188	103
4499477.0	5362687.5	674	462	212
4497776.0	5346844.0	774	500	274
4510174.0	5342884.0	416	263	153
4475709.0	5343146.5	1814	1194	620
4503791.5	5346582.5	333	204	129
4497936.0	5365234.5	360	238	122
4495707.0	5344803.5	1233	785	448
4485864.0	5343176.0	715	459	256
4493354.0	5352510.5	3407	2171	1236
4487083.0	5345227.5	526	316	210
4488588.0	5348786.0	950	555	395
