x	y	total	home	work
4511935.0	5347670.0	38	15	23
4504581.0	5341783.5	5	0	5
4491178.5	5342258.5	66	46	20
4496678.5	5369763.0	78	44	34
4503278.5	5350340.5	26	13	13
4484340.5	5357249.0	3614	2179	1435
4498550.0	5353614.5	138	86	52
4481427.0	5362646.0	331	214	117
4485942.0	5337060.0	44	21	23
4493682.5	5351729.0	1105	679	426
4499590.5	5359250.5	150	96	54
4488325.5	5355454.0	339	214	125
4467859.0	5331594.0	4047	2336	1711
4509783.0	5356190.0	59	26	33
4511233.5	5348363.0	61	28	33
4489838.5	5339512.0	226	159	67
4505875.0	5356669.0	50	24	26
4499477.0	5362687.5	198	126	72
4497776.0	5346844.0	80	42	38
4510174.0	5342884.0	7	0	7
4475709.0	5343146.5	161	96	65
4497936.0	5365234.5	80	47	33
4503791.5	5346582.5	10	5	5
4485864.0	5343176.0	80	47	33
4495707.0	5344803.5	177	116	61
4493354.0	5352510.5	573	324	249
4487083.0	5345227.5	96	61	35
4488588.0	5348786.0	191	111	80
