x	y	total	home	work
4511935.0	5347670.0	124	77	47
4504581.0	5341783.5	68	40	28
4491178.5	5342258.5	67	48	19
4496678.5	5369763.0	70	36	34
4503278.5	5350340.5	34	25	9
4484340.5	5357249.0	3998	2555	1443
4481427.0	5362646.0	312	186	126
4498550.0	5353614.5	130	73	57
4485942.0	5337060.0	68	47	21
4493682.5	5351729.0	1174	728	446
4499590.5	5359250.5	151	95	56
4488325.5	5355454.0	313	188	125
4467859.0	5331594.0	4673	2909	1764
4509783.0	5356190.0	104	73	31
4511233.5	5348363.0	109	60	49
4489838.5	5339512.0	330	207	123
4505875.0	5356669.0	57	31	26
4499477.0	5362687.5	166	104	62
4497776.0	5346844.0	68	40	28
4510174.0	5342884.0	42	24	18
4475709.0	5343146.5	196	125	71
4497936.0	5365234.5	73	42	31
4503791.5	5346582.5	35	22	13
4495707.0	5344803.5	137	93	44
4485864.0	5343176.0	86	56	30
4493354.0	5352510.5	458	291	167
4487083.0	5345227.5	77	51	26
4488588.0	5348786.0	204	122	82
