x	y	total	home	work
4511935.0	5347670.0	1037	671	366
4491178.5	5342258.5	640	410	230
4504581.0	5341783.5	112	51	61
4496678.5	5369763.0	237	155	82
4503278.5	5350340.5	363	223	140
4484340.5	5357249.0	21764	14451	7313
4481427.0	5362646.0	1899	1230	669
4498550.0	5353614.5	631	384	247
4485942.0	5337060.0	1012	651	361
4493682.5	5351729.0	5474	3556	1918
4499590.5	5359250.5	511	319	192
4488325.5	5355454.0	1594	985	609
4467859.0	5331594.0	26945	17907	9038
4509783.0	5356190.0	178	70	108
4511233.5	5348363.0	150	86	64
4489838.5	5339512.0	2354	1525	829
4505875.0	5356669.0	35	14	21
4499477.0	5362687.5	297	200	97
4497776.0	5346844.0	652	409	243
4510174.0	5342884.0	113	47	66
4475709.0	5343146.5	1742	1147	595
4503791.5	5346582.5	211	112	99
4497936.0	5365234.5	215	140	75
4495707.0	5344803.5	1171	754	417
4485864.0	5343176.0	571	350	221
4493354.0	5352510.5	3123	1974	1149
4487083.0	5345227.5	457	260	197
4488588.0	5348786.0	702	354	348
