x	y	total	home	work
4511935.0	5347670.0	1337	892	445
4504581.0	5341783.5	885	552	333
4491178.5	5342258.5	778	513	265
4496678.5	5369763.0	399	274	125
4503278.5	5350340.5	506	327	179
4484340.5	5357249.0	22092	14712	7380
4481427.0	5362646.0	2121	1411	710
4498550.0	5353614.5	982	648	334
4485942.0	5337060.0	1100	710	390
4493682.5	5351729.0	7706	5070	2636
4499590.5	5359250.5	621	403	218
4488325.5	5355454.0	2221	1476	745
4467859.0	5331594.0	27417	18272	9145
4509783.0	5356190.0	925	617	308
4511233.5	5348363.0	819	531	288
4489838.5	5339512.0	2724	1809	915
4505875.0	5356669.0	354	237	117
4499477.0	5362687.5	745	475	270
4497776.0	5346844.0	809	534	275
4510174.0	5342884.0	480	322	158
4475709.0	5343146.5	1847	1227	620
4503791.5	5346582.5	500	336	164
4497936.0	5365234.5	391	259	132
4495707.0	5344803.5	1266	816	450
4485864.0	5343176.0	1032	683	349
4493354.0	5352510.5	3755	2490	1265
4487083.0	5345227.5	733	483	250
4488588.0	5348786.0	1276	841	435
