Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	22856.424166666668	20826.1825	0.0	0.0	74021.01055555555	0.0
1	22878.768888888888	20284.654444444444	0.0	0.0	73982.56222222222	0.0
2	22926.034166666668	20545.902222222223	0.0	0.0	74254.84805555556	0.0
3	22975.58388888889	20188.773333333334	0.0	0.0	74241.18944444445	0.0
4	23044.314444444444	20428.354722222222	0.0	0.0	74611.34277777778	0.0
5	23087.15472222222	20178.06111111111	0.0	0.0	74663.17305555556	0.0
6	23076.499444444446	20211.41611111111	0.0	0.0	74803.14805555556	0.0
7	23486.804166666665	21520.400555555556	0.0	0.0	71431.45444444445	0.0
8	23723.581388888888	21627.318055555555	0.0	0.0	69370.87027777778	0.0
9	23831.363611111112	21680.062222222223	0.0	0.0	68668.86	0.0
10	23963.31166666667	21870.499444444446	0.0	0.0	67717.845	0.0
11	24295.596944444445	22374.386944444443	0.0	0.0	64904.9425	0.0
12	24531.79611111111	22627.321111111112	0.0	0.0	64228.124444444446	0.0
13	24709.58111111111	22843.03277777778	0.0	0.0	63436.43472222222	0.0
14	24773.069722222222	23046.89972222222	0.0	0.0	63056.10833333333	0.0
15	24855.97111111111	23344.14361111111	0.0	0.0	62591.79194444444	0.0
16	24944.23611111111	23489.606944444444	0.0	0.0	62458.259722222225	0.0
17	25025.305277777778	23847.557777777776	0.0	0.0	62588.34527777778	0.0
18	25045.516666666666	23997.415833333333	0.0	0.0	62440.101111111115	0.0
19	25683.556666666667	24436.965833333332	0.0	0.0	65470.724444444444	0.0
20	25634.735555555555	26345.727777777778	0.0	0.0	64755.88444444445	0.0
21	25582.119444444445	25469.080833333333	0.0	0.0	65345.12111111111	0.0
22	25786.060833333333	25760.328333333335	0.0	0.0	65516.02805555556	0.0
23	25699.026944444446	25237.0975	0.0	0.0	66016.97583333333	0.0
24	25666.512222222223	25636.230277777777	0.0	0.0	64924.859444444446	0.0
25	25484.15861111111	24682.952222222222	0.0	0.0	65909.80694444444	0.0
26	25736.471388888887	24260.345833333333	0.0	0.0	65756.65555555555	0.0
27	25603.203611111112	24460.433333333334	0.0	0.0	64568.34916666667	0.0
28	25569.261388888888	23482.836944444443	0.0	0.0	64849.02361111111	0.0
29	25566.664166666666	24573.32222222222	0.0	0.0	64589.20916666667	0.0
30	25561.27527777778	24031.82277777778	0.0	0.0	63964.61666666667	0.0
31	25504.075277777778	23977.03888888889	0.0	0.0	64193.72472222222	0.0
32	25407.501111111113	24021.493333333332	0.0	0.0	63884.18472222222	0.0
33	25446.68972222222	23959.928333333333	0.0	0.0	62964.23583333333	0.0
