Iteration	pt	walk
110	1587165.226	118375.17872477803
111	1598861.023	116662.25383184479
112	1595208.831	116748.98738438975
113	1603436.919	116373.5088689699
114	1595722.717	115997.19260735773
115	1601411.331	115506.37105096526
116	1598992.31	114831.08119207737
117	1604383.201	115201.33160182873
118	1601526.569	115016.20597718058
119	1605423.732	110277.03039472977
120	1610510.799	109747.43665632955
121	1615709.401	110024.25503697779
122	1615332.378	109547.18510880659
123	1628120.479	109600.97904219423
124	1624578.383	109734.74324571702
125	1634412.243	109781.18095653891
126	1628086.283	109977.78032500275
127	1639713.521	109625.37830307076
128	1635217.625	108869.2313855935
129	1646648.591	107637.56831827648
130	1643844.688	108224.90969900876
131	1651317.166	107176.1209467648
132	1647497.031	107374.76112232235
133	1652306.144	106564.66975169865
134	1645241.14	106753.31343509299
135	1643304.011	102143.6423223629
136	1643269.015	102525.76430605812
137	1651892.424	102962.041300245
138	1656430.616	101055.32099673053
139	1658332.797	101697.88453134846
140	1664010.498	102008.80774445995
141	1667090.882	102687.65346892618
142	1666955.503	102598.83044225765
143	1676439.288	102264.19048504392
144	1671739.356	103252.41887291585
145	1665565.981	97922.5333884743
146	1668027.132	97509.38203644786
147	1673894.275	97670.07922860111
148	1689162.944	97794.13664199083
149	1690154.217	96680.08004003661
150	1697513.036	96448.43703461863
151	1700935.214	95383.6006772643
152	1706056.116	94499.39326990694
153	1704352.337	93404.29223594129
154	1691199.555	91768.77126311514
155	1723645.643	90783.41855832787
156	1728834.101	89076.18555423684
157	1732621.677	87995.07502054384
158	1726943.152	86172.50750899801
159	1744815.54	84629.43697173877
160	1745807.513	83786.36805971901
161	1766031.693	82353.4939505997
162	1760789.298	81607.87422604299
163	1772562.463	81336.98367513543
164	1769273.455	80413.61724410394
165	1776894.608	80819.67840503332
166	1759806.621	80096.58383651581
167	1773403.233	79734.76284159566
168	1771087.487	79720.89289964589
169	1790092.754	77577.89637250056
170	1780994.404	77304.02175829513
171	1800517.13	77351.8937535848
172	1792432.708	78137.37619632145
173	1801886.626	77838.30908692263
174	1768355.769	75648.92259202311
175	1799643.482	76398.5186063973
176	1803174.472	76702.92273682352
177	1812047.165	76212.86593177343
178	1803506.984	69140.17696358486
179	1818150.648	68571.53916698025
180	1821474.758	67222.02900255629
181	1832678.59	67266.68253138982
182	1836196.207	67003.5620015519
183	1839760.97	65674.88622295417
184	1850219.96	64611.946397684995
185	1854861.249	63931.759973906315
186	1864956.045	62469.931029799285
187	1867195.876	60476.29596423489
188	1872127.061	59762.86979177879
189	1870864.266	59474.904796370276
190	1881422.973	57189.45519961183
191	1881357.189	55840.944800562575
192	1893945.185	54733.46514870965
193	1885677.644	53349.98633262644
194	1901690.104	52522.16719021034
195	1885166.332	51330.272079585186
196	1901253.428	50110.45245524042
197	1887500.792	49546.29444142088
198	1909733.752	48972.00476787641
199	1910386.514	49432.58002151163
200	1911596.3	48177.53775532886
201	1908548.003	48876.65254490596
202	1908624.988	48713.42561092053
203	1914103.787	48659.797709337094
204	1925161.27	48577.86726439831
205	1906670.852	47988.285991826146
206	1914503.882	47746.627341940955
207	1908238.233	47510.54384713846
208	1922983.961	47454.746749061065
209	1915070.26	47503.39928742413
210	1904626.065	47203.68737809507
211	1916552.546	47113.71085090128
212	1908041.136	47472.58616794027
213	1925866.9	47118.83218171536
214	1922852.902	46693.62849791008
215	1919393.797	47333.62783327153
216	1929427.871	47268.94909514781
217	1919217.778	46664.85932087459
218	1916135.393	46693.45040582558
219	1919291.628	46421.57403425282
220	1905137.825	46763.334560297546
221	1926439.171	46767.040536998866
222	1910773.704	46541.093833131534
223	1928092.666	46915.68558352832
224	1905053.966	46335.91081984161
225	1936992.738	47181.52009268805
226	1917806.052	46485.97713872813
227	1941539.902	46647.948997489104
228	1922374.769	46554.82945770692
229	1928640.166	46469.27205972405
230	1929115.182	45930.489433142175
231	1927131.82	46365.36092488648
232	1922855.178	45936.695915629665
233	1916435.365	45215.22573301469
234	1934738.57	46349.39063107666
235	1933426.845	46630.11565388859
236	1928978.308	45990.77805464809
237	1936414.696	45541.72611385335
238	1921779.331	46380.19677584718
239	1933773.308	46008.27134489088
240	1916417.838	45684.3926828387
241	1931913.656	45538.94405277908
242	1931837.515	46126.23137118499
243	1933468.499	46086.44231974726
244	1927959.324	45763.19186814228
245	1929262.72	46016.689149996586
246	1931207.388	45102.792635844504
247	1922610.924	45166.24266435451
248	1926123.528	45611.56706043022
249	1929557.935	45117.2075246343
250	1935464.077	46008.306010222135
251	1926615.537	45354.674449785256
252	1925214.96	45195.58146314284
253	1936342.484	45007.622687784846
