Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	23:03:02	23:03:02	23:03:03			23:03:03	23:03:03	23:03:08	23:03:08	23:03:08	23:03:08	23:03:08	23:03:35	23:03:35	23:03:35	23:03:35	23:03:36	23:03:36			23:03:41	23:03:41		00:00:00		00:00:05	00:00:05	00:00:00	00:00:27	00:00:00	00:00:00		00:00:05	00:00:38
1	23:03:41	23:03:41	23:03:41	23:03:41	23:03:41	23:03:41	23:03:41	23:03:44	23:03:45	23:03:45	23:03:45	23:03:45	23:04:04	23:04:04	23:04:04	23:04:04	23:04:04	23:04:04			23:04:07	23:04:07		00:00:00	00:00:00	00:00:03	00:00:03	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:25
2	23:04:07	23:04:07	23:04:07	23:04:07	23:04:07	23:04:07			23:04:07	23:04:07	23:04:07	23:04:07	23:04:30	23:04:30	23:04:30	23:04:30	23:04:30	23:04:30			23:04:32	23:04:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
3	23:04:32	23:04:32	23:04:32	23:04:32	23:04:33	23:04:33			23:04:33	23:04:33	23:04:33	23:04:33	23:04:56	23:04:56	23:04:56	23:04:56	23:04:56	23:04:56			23:04:59	23:04:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:26
4	23:04:59	23:04:59	23:04:59	23:04:59	23:04:59	23:04:59			23:04:59	23:04:59	23:04:59	23:04:59	23:05:23	23:05:23	23:05:24	23:05:24	23:05:24	23:05:24			23:05:26	23:05:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:24	00:00:00	00:00:00		00:00:02	00:00:27
5	23:05:26	23:05:26	23:05:26	23:05:26	23:05:26	23:05:26			23:05:26	23:05:26	23:05:26	23:05:26	23:05:48	23:05:48	23:05:49	23:05:49	23:05:49	23:05:49			23:05:51	23:05:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:24
6	23:05:51	23:05:51	23:05:51	23:05:51	23:05:51	23:05:51			23:05:51	23:05:51	23:05:51	23:05:51	23:06:12	23:06:12	23:06:12	23:06:12	23:06:12	23:06:12			23:06:15	23:06:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
7	23:06:15	23:06:15	23:06:15	23:06:15	23:06:15	23:06:15			23:06:15	23:06:15	23:06:15	23:06:15	23:06:34	23:06:34	23:06:34	23:06:34	23:06:34	23:06:34			23:06:37	23:06:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
8	23:06:37	23:06:37	23:06:37	23:06:37	23:06:37	23:06:37			23:06:37	23:06:37	23:06:37	23:06:37	23:06:57	23:06:57	23:06:58	23:06:58	23:06:58	23:06:58			23:07:00	23:07:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:22
9	23:07:00	23:07:00	23:07:00	23:07:00	23:07:00	23:07:00			23:07:00	23:07:00	23:07:00	23:07:00	23:07:19	23:07:19	23:07:19	23:07:19	23:07:19	23:07:19			23:07:22	23:07:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:02	00:00:21
