# iteration	operator	status	plan id	creator	parent	vehicle	pax	score	budget	start time	end time	important stops	links
1	para_1_17	BANKRUPT	1_0	CreateNewPlan	none	5	52	-11694.311556444445	-11693.311556444445	13:00:00	13:30:00	[para_80, para_260]	[80, 285, 131, 0, 26, 68, 87, 39, 40, 88, 97, 260, 43, 44, 81, 80]
1	para_1_17	BANKRUPT	=====	=====	=====	5	52	-11694.311556444445	-11693.311556444445	=====	=====	=====	=====
1	para_1_18	BANKRUPT	1_0	CreateNewPlan	none	5	0	-9559.930950833335	-9558.930950833335	21:45:00	22:15:00	[para_44, para_219]	[44, 283, 219, 44]
1	para_1_18	BANKRUPT	=====	=====	=====	5	0	-9559.930950833335	-9558.930950833335	=====	=====	=====	=====
1	para_1_19	BANKRUPT	1_0	CreateNewPlan	none	5	87	-13161.261997333337	-13160.261997333337	07:00:00	07:15:00	[para_156, para_104]	[156, 125, 2, 279, 104, 131, 114, 4, 156]
1	para_1_19	BANKRUPT	=====	=====	=====	5	87	-13161.261997333337	-13160.261997333337	=====	=====	=====	=====
1	para_1_20	BANKRUPT	1_0	CreateNewPlan	none	5	68	-12179.695501333332	-12178.695501333332	11:00:00	21:15:00	[para_44, para_100]	[44, 45, 42, 100, 219, 44]
1	para_1_20	BANKRUPT	=====	=====	=====	5	68	-12179.695501333332	-12178.695501333332	=====	=====	=====	=====
2	para_2_21	BANKRUPT	2_0	CreateNewPlan	none	5	7	-9490.531603222222	-9489.531603222222	22:00:00	22:15:00	[para_218, para_187]	[218, 37, 204, 187, 180, 36, 219, 218]
2	para_2_21	BANKRUPT	=====	=====	=====	5	7	-9490.531603222222	-9489.531603222222	=====	=====	=====	=====
2	para_2_22	BANKRUPT	2_0	CreateNewPlan	none	5	172	-13074.425026944446	-13073.425026944446	07:00:00	15:00:00	[para_260, para_81]	[260, 43, 44, 81, 80, 285, 131, 0, 26, 68, 87, 39, 40, 88, 97, 260]
2	para_2_22	BANKRUPT	=====	=====	=====	5	172	-13074.425026944446	-13073.425026944446	=====	=====	=====	=====
2	para_2_23	BANKRUPT	2_0	CreateNewPlan	none	5	104	-13144.48806983333	-13143.48806983333	07:00:00	07:15:00	[para_254, para_265]	[254, 96, 89, 41, 38, 86, 69, 236, 265, 11, 170, 254]
2	para_2_23	BANKRUPT	=====	=====	=====	5	104	-13144.48806983333	-13143.48806983333	=====	=====	=====	=====
2	para_2_24	BANKRUPT	2_0	CreateNewPlan	none	5	224	-13024.99128022222	-13023.99128022222	07:00:00	07:15:00	[para_49, para_269]	[49, 183, 198, 269, 127, 2, 91, 85, 73, 49]
2	para_2_24	BANKRUPT	=====	=====	=====	5	224	-13024.99128022222	-13023.99128022222	=====	=====	=====	=====
2	para_2_25	BANKRUPT	2_0	CreateNewPlan	none	5	106	-13141.776396666666	-13140.776396666666	07:00:00	07:15:00	[para_179, para_56]	[179, 20, 95, 254, 57, 56, 255, 94, 21, 178, 179]
2	para_2_25	BANKRUPT	=====	=====	=====	5	106	-13141.776396666666	-13140.776396666666	=====	=====	=====	=====
2	para_2_26	BANKRUPT	2_0	CreateNewPlan	none	5	268	-12979.002102444447	-12978.002102444447	07:00:00	09:15:00	[para_260, para_80]	[260, 43, 44, 81, 80, 285, 131, 0, 26, 68, 87, 39, 40, 88, 97, 260]
2	para_2_26	BANKRUPT	=====	=====	=====	5	268	-12979.002102444447	-12978.002102444447	=====	=====	=====	=====
